Grant Name,Sponsor,Link,Open Date,Deadline,Status
UI Interstate Connection Network (ETA-UI-2025-02),Employment and Training Administration,https://www.grants.gov/search-results-detail/360351,08/25/2025,09/05/2025,posted
State Electronic Crash Data Collection (693JJ92023),National Highway Traffic Safety Administration,https://www.grants.gov/search-results-detail/345645,02/02/2023,,forecasted
Growing Research Access for Nationally Transformative Economic Development (PD-23-221Y),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/346203,02/17/2023,,posted
NIAID SBIR Phase II Clinical Trial Implementation Cooperative Agreement (U44 Clinical Trial Required) (PAR-24-099),National Institutes of Health,https://www.grants.gov/search-results-detail/352061,01/29/2024,01/13/2027,posted
UCEDD National Training Initiative (HHS-2024-ACL-AOD-DDTI-0009),Administration for Community Living,https://www.grants.gov/search-results-detail/349339,07/18/2023,,forecasted
"NSF Scholarships in Science, Technology, Engineering, and Mathematics Program (25-514)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/357498,12/03/2024,03/03/2026,posted
UCEDD National Training Initiative to Support Youth with Intellectual and Developmental Disabilities involved with the Juvenile Justice System (HHS-2022-ACL-AOD-DDTI-0076),Administration for Community Living,https://www.grants.gov/search-results-detail/338441,03/01/2022,,forecasted
WATER RESOURCES RESEARCH ACT PROGRAM ANNUAL BASE GRANTS FISCAL YEAR 2025 (G25AS00486),Geological Survey,https://www.grants.gov/search-results-detail/360217,08/01/2025,09/16/2025,posted
Brookwood-Sago Mine Safety Grants (FOA-BS-2025-1),Mine Safety and Health Administration,https://www.grants.gov/search-results-detail/360323,08/21/2025,09/19/2025,posted
F25AS00165 Partners for Fish and Wildlife FY25 (F25AS00165),Fish and Wildlife Service,https://www.grants.gov/search-results-detail/358381,01/23/2025,09/30/2025,posted
Outdoor Recreation Legacy Partnership Program (ORLP) Recurring Notice 5 Year (P25AS00189),National Park Service,https://www.grants.gov/search-results-detail/357672,12/11/2024,11/01/2029,posted
MINORITY SERVING INSTITUTIONS PARTNERSHIP PROGRAM (MSIPP) CONSORTIA GRANT PROGRAM (CGP) (DE-FOA-0003285),NNSA,https://www.grants.gov/search-results-detail/351714,01/05/2024,06/15/2026,posted
WATER RESOURCES RESEARCH ACT PROGRAM NATIONAL COMPETITIVE GRANTS FY2025 PROGRAM ANNOUNCEMENT For PER &ndash; AND POLYFLUOROALKYL SUBSTANCES (PFAS) (G25AS00484),Geological Survey,https://www.grants.gov/search-results-detail/360310,08/15/2025,09/30/2025,posted
