Grant Name,Sponsor,Link,Open Date,Deadline,Status
U.S. Ambassadors Fund for Cultural Preservation (AFCP) (PAS-JAKARTA-FY20-03),U.S. Mission to Indonesia,https://www.grants.gov/search-results-detail/327283,05/22/2020,,forecasted
Annual Program Statement (APS) for Fiscal Year 2025 (PAS-TUNIS-FY2025),U.S. Mission to Tunisia,https://www.grants.gov/search-results-detail/359120,06/02/2025,,forecasted
Annual Program Statement for U.S. Presentation at International Art Biennales (DFOP0017204),Bureau Of Educational and Cultural Affairs,https://www.grants.gov/search-results-detail/360164,07/29/2025,01/01/2099,posted
Ambassadors Fund for Cultural Preservation Large Grants Program (PAS-CB-600-20-PAS-0003),U.S. Mission to Cambodia,https://www.grants.gov/search-results-detail/322314,11/08/2019,,forecasted
AFCP 2020 Small Grants Competition (AFCPLG20),U.S. Mission to Egypt,https://www.grants.gov/search-results-detail/322815,12/02/2019,,forecasted
U.S. EMBASSY TO LIBYA PAS ANNUAL PROGRAM STATEMENT (OFOP0001473),U.S. Mission to Tunisia,https://www.grants.gov/search-results-detail/355211,06/28/2024,01/01/2099,posted
AFCP 2020 Small Grants Competition (AFCP20),U.S. Mission to Egypt,https://www.grants.gov/search-results-detail/322814,12/02/2019,,forecasted
U.S. Ambassadors Fund for Cultural Preservation (AFCP) 2021 Small Grant Competition (PAS-JAKARTA-FY20-04),U.S. Mission to Indonesia,https://www.grants.gov/search-results-detail/327284,05/22/2020,,forecasted
Alumni Engagement Innovation Fund (AEIF) 2021 (S-DR860-21-NOFO-005),U.S. Mission to the Dominican Republic,https://www.grants.gov/search-results-detail/333638,05/20/2021,,forecasted
Alumni Engagement Innovation Fund Program FY 2025 (SMK800-25-PAS001),U.S. Mission to North Macedonia,https://www.grants.gov/search-results-detail/358681,04/16/2025,,forecasted
ANNUAL PROGRAM STATEMENT - PUBLIC AFFAIRS ITALY (ROMENOFO002DOSEUR),U.S. Mission to Italy,https://www.grants.gov/search-results-detail/331306,02/04/2021,,posted
2022 Alumni Engagement Innovation Fund-Italy (04),U.S. Mission to Italy,https://www.grants.gov/search-results-detail/337035,12/20/2021,,forecasted
