Grant Name,Sponsor,Link,Open Date,Deadline,Status
Electrochemical Systems,U.S. National Science Foundation,https://www.grants.gov/web/grants/view-opportunity.html?oppId=347329,04/05/2023,,posted
Interfacial Engineering,U.S. National Science Foundation,https://www.grants.gov/web/grants/view-opportunity.html?oppId=347326,04/05/2023,,posted
"Energy, Power, Control, and Networks",U.S. National Science Foundation,https://www.grants.gov/web/grants/view-opportunity.html?oppId=348258,05/19/2023,,posted
Energy Improvements in Rural or Remote Areas &ndash; Fiscal Year 2025 Release,Headquarters,https://www.grants.gov/web/grants/view-opportunity.html?oppId=356630,10/03/2024,08/28/2025,posted
Long Range Broad Agency Announcement (BAA) for NSWC Crane,NSWC CRANE - N00164,https://www.grants.gov/web/grants/view-opportunity.html?oppId=352238,02/08/2024,,posted
SEEDING CRITICAL ADVANCES FOR LEADING ENERGY TECHNOLOGIES WITH UNTAPPED POTENTIAL (SCALEUP) READY,Advanced Research Projects Agency Energy ,https://www.grants.gov/web/grants/view-opportunity.html?oppId=356623,10/02/2024,09/29/2029,posted
NRL Long Range Broad Agency Announcement (BAA) for Basic and Applied Research,Naval Research Laboratory,https://www.grants.gov/web/grants/view-opportunity.html?oppId=352741,03/01/2024,09/30/2025,posted
Air Dominance Broad Agency Announcement (BAA),Munitions Directorate,https://www.grants.gov/web/grants/view-opportunity.html?oppId=358674,04/14/2025,10/31/2029,posted
Request For Information - Slip-On Tankers,Interior Business Center,https://www.grants.gov/web/grants/view-opportunity.html?oppId=350138,09/07/2023,,forecasted
Research Interests of the Air Force Office of Scientific Research,Air Force Office of Scientific Research,https://www.grants.gov/web/grants/view-opportunity.html?oppId=359050,05/20/2025,,posted
"UNITED STATES ARMY RESEARCH INSTITUTE FOR THE BEHAVIORAL AND SOCIAL SCIENCES (ARI) BROAD AGENCY ANNOUNCEMENT FOR BASIC, APPLIED, AND ADVANCED SCIENTIFIC RESEARCH",Dept of the Army -- Materiel Command,https://www.grants.gov/web/grants/view-opportunity.html?oppId=347858,05/01/2023,04/30/2028,posted
Securing Fair and Reliable Critical Mineral Supply Chains,Bureau of International Labor Affairs,https://www.grants.gov/web/grants/view-opportunity.html?oppId=360111,08/27/2025,09/26/2025,posted
Realize Energy-rich Compound Opportunities Valorizing Extraction from Refuse waters (RECOVER),Advanced Research Projects Agency Energy ,https://www.grants.gov/web/grants/view-opportunity.html?oppId=357286,11/21/2024,08/28/2025,posted
Realize Energy-rich Compound Opportunities Valorizing Extraction from Refuse waters SBIR/STTR (RECOVER SBIR/STTR),Advanced Research Projects Agency Energy ,https://www.grants.gov/web/grants/view-opportunity.html?oppId=357287,11/21/2024,08/28/2025,posted
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI) Department of Defense Army,Dept of the Army -- Materiel Command,https://www.grants.gov/web/grants/view-opportunity.html?oppId=358532,03/05/2025,09/05/2025,posted
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI),Office of Naval Research,https://www.grants.gov/web/grants/view-opportunity.html?oppId=358592,03/25/2025,09/05/2025,posted
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI),Office of Naval Research,https://www.grants.gov/web/grants/view-opportunity.html?oppId=358585,03/21/2025,09/05/2025,posted
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI),Air Force Office of Scientific Research,https://www.grants.gov/web/grants/view-opportunity.html?oppId=358533,03/05/2025,09/05/2025,posted
"Sustainable Range Study Richardson Training Area, Fort Wainwright and Donnelly Training Area, Alaska (SOW 25-101)",Alaska District,https://www.grants.gov/web/grants/view-opportunity.html?oppId=359983,07/10/2025,09/08/2025,posted
Defense Production Act Title III Expansion of Domestic Production Capability and Capacity,Air Force -- Research Lab,https://www.grants.gov/web/grants/view-opportunity.html?oppId=318351,07/12/2019,07/12/2026,posted
DOD Defense Health Agency (DHA) Research &amp; Development FY23-FY27 BROAD AGENCY ANNOUNCEMENT for Extramural Medical Research,Dept. of the Army -- USAMRAA,https://www.grants.gov/web/grants/view-opportunity.html?oppId=343725,09/22/2022,09/30/2027,posted
MINORITY SERVING INSTITUTIONS PARTNERSHIP PROGRAM (MSIPP) CONSORTIA GRANT PROGRAM (CGP),NNSA,https://www.grants.gov/web/grants/view-opportunity.html?oppId=351714,01/05/2024,06/15/2026,posted
Agriculture and Food Research Initiative Competitive Grants Program Foundational and Applied Science Program,National Institute of Food and Agriculture,https://www.grants.gov/web/grants/view-opportunity.html?oppId=360205,08/01/2025,12/31/2026,posted
BROAD AGENCY ANNOUNCEMENT (BAA) for Extramural Biomedical and Human Performance Research and Development Department of Defense,Dept. of the Army -- USAMRAA,https://www.grants.gov/web/grants/view-opportunity.html?oppId=349586,07/27/2023,07/31/2028,posted
FY 2025 Continuation of Solicitation for the Office of Science Financial Assistance Program,Office of Science,https://www.grants.gov/web/grants/view-opportunity.html?oppId=356590,09/30/2024,09/30/2025,posted
Microsystems Technology Office (MTO) Office-wide,DARPA - Microsystems Technology Office ,https://www.grants.gov/web/grants/view-opportunity.html?oppId=354134,05/09/2024,10/09/2025,posted
"Pioneering Aerospace Capabilities, Engineering and Research (PACER)",Air Force -- Research Lab,https://www.grants.gov/web/grants/view-opportunity.html?oppId=349554,07/26/2023,05/10/2043,posted
