Grant Name,Sponsor,Link,Opp ID,Opportunity Number,Open Date,Deadline,Status
"National Defense Education Program (NDEP) Science, Technology, Engineering, and Mathematics (STEM) Consortia Request for Information (RFI) for the Office of the Under Secretary of Defense (Research &amp; Engineering) (RANDENDEPSTEMFY22RFI)",Department of Defense,https://www.grants.gov/search-results-detail/334905,334905,RANDENDEPSTEMFY22RFI,07/27/2021,,forecasted
STARBASE Wright Patt (FOA-AFRL-PZLDA-2021-0001),Air Force -- Research Lab,https://www.grants.gov/search-results-detail/329806,329806,FOA-AFRL-PZLDA-2021-0001,11/13/2020,,forecasted
American Prosperity:  Foreign Investment Readiness Program (PAS-JOR-FY25-006),U.S. Mission to Jordan,https://www.grants.gov/search-results-detail/360185,360185,PAS-JOR-FY25-006,07/31/2025,09/01/2025,posted
NSF Small Business Innovation Research / Small Business Technology Transfer Fast-Track Pilot Programs (24-582),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/355009,355009,24-582,06/18/2024,11/05/2025,posted
Academy for Women Entrepreneurs 2024 (AF-HAR-FY24-01),U.S. Mission to Zimbabwe,https://www.grants.gov/search-results-detail/350892,350892,AF-HAR-FY24-01,11/07/2023,,forecasted
"NHLBI SBIR Phase IIB Small Market Awards to Accelerate the Commercialization of Technologies for Heart, Lung, Blood, and Sleep Disorders and Diseases (R44 Clinical Trial Optional) (RFA-HL-26-015)",National Institutes of Health,https://www.grants.gov/search-results-detail/357231,357231,RFA-HL-26-015,11/18/2024,02/26/2027,posted
Small Business Innovation Research and Small Business Technology Transfer Programs Phase II (USDA-NIFA-SBIR-011120),National Institute of Food and Agriculture,https://www.grants.gov/search-results-detail/360040,360040,USDA-NIFA-SBIR-011120,07/16/2025,09/23/2025,posted
Small Business Transition Grant for New Entrepreneurs (R43/R44 Clinical Trial Required) (PAR-24-132),National Institutes of Health,https://www.grants.gov/search-results-detail/353826,353826,PAR-24-132,04/26/2024,04/05/2027,posted
Small Business Transition Grant for New Entrepreneurs (R41/R42 Clinical Trial Not Allowed) (PAR-24-133),National Institutes of Health,https://www.grants.gov/search-results-detail/353801,353801,PAR-24-133,04/25/2024,04/05/2027,posted
Small Business Transition Grant for New Entrepreneurs (R41/R42 Clinical Trial Required) (PAR-24-134),National Institutes of Health,https://www.grants.gov/search-results-detail/353803,353803,PAR-24-134,04/25/2024,04/05/2027,posted
