Grant Name,Sponsor,Link,Opp ID,Opportunity Number,Open Date,Deadline,Status
Curriculum and University Partnerships (CUP) (2025VE-002A),U.S. Mission to Venezuela,https://www.grants.gov/search-results-detail/359026,359026,2025VE-002A,05/16/2025,,forecasted
Notice of Intent to Publish a Request for Concept Notes Announcement on Capacity Development for the Reception &amp; Placement Program (PRM-A-NOI-01),Bureau of Population Refugees and Migration,https://www.grants.gov/search-results-detail/339686,339686,PRM-A-NOI-01,04/21/2022,,forecasted
Infrastructure Capacity for Biological Research (23-580),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/347679,347679,23-580,04/21/2023,,posted
Capacity Building and Program Technical Assistance for Family Violence Prevention and Services Act Formula Grantees (HHS-2025-ACF-OFVPS-EV-0033),Administration for Children and Families - OFVPS,https://www.grants.gov/search-results-detail/355622,355622,HHS-2025-ACF-OFVPS-EV-0033,07/25/2024,,forecasted
Culture of Research and University Exchanges Prep program (CRUX) in One Health and Agricultural STEM (AFHAR-FY21-01),U.S. Mission to Zimbabwe,https://www.grants.gov/search-results-detail/334092,334092,AFHAR-FY21-01,06/10/2021,,forecasted
Request for Information (RFI) No.  95332421K0004 - Community Engagement Services for the Solomon Islands Threshold Program (95332421K0004),Millennium Challenge Corporation,https://www.grants.gov/search-results-detail/331311,331311,95332421K0004,02/04/2021,,forecasted
MINORITY SERVING INSTITUTIONS PARTNERSHIP PROGRAM (MSIPP) CONSORTIA GRANT PROGRAM (CGP) (DE-FOA-0003285),NNSA,https://www.grants.gov/search-results-detail/351714,351714,DE-FOA-0003285,01/05/2024,06/15/2026,posted
Geospace Cluster (PD-24-7789),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/356536,356536,PD-24-7789,09/26/2024,,posted
Support Ethiopia's Capacity to Meet International Health Regulations Requirements (CDC-RFA-JG-26-0046),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360333,360333,CDC-RFA-JG-26-0046,08/22/2025,,forecasted
Improve and Strengthen the Nigerian National Public Health Institute's Management Capacity and Public Health Functions (CDC-RFA-JG-26-0043),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360332,360332,CDC-RFA-JG-26-0043,08/22/2025,,forecasted
MPPEP Phase 3 Invasive Wild-Caught Catfish (RD-RBS-25-03-MPPEP),Rural Business-Cooperative Service ,https://www.grants.gov/search-results-detail/360256,360256,RD-RBS-25-03-MPPEP,08/07/2025,10/06/2025,posted
Department of Defense HIV/AIDS Prevention Program (W81XWH-22-DHAPP),Dept. of the Army -- USAMRAA,https://www.grants.gov/search-results-detail/343653,343653,W81XWH-22-DHAPP,09/19/2022,09/18/2027,posted
Promoting Human Rights For Vulnerable Children in Haut-Katanga (DRC-ARDF-FY20-01),U.S. Mission to the Democratic Republic of Congo,https://www.grants.gov/search-results-detail/334551,334551,DRC-ARDF-FY20-01,07/02/2021,,forecasted
EONS 2018: Appendix E Minority University Research and Education Project (MUREP) for Sustainability and Innovation Collaborative &ndash; (MUSIC)  (NNH18ZHA002N-MUSIC),National Aeronautics and Space Administration,https://www.grants.gov/search-results-detail/300997,300997,NNH18ZHA002N-MUSIC,02/22/2018,,posted
State Occupational Safety and Health Surveillance Program (U60) (RFA-OH-26-007),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/357417,357417,RFA-OH-26-007,11/27/2024,,forecasted
EPSCoR Research Infrastructure Improvement Program: Focused EPSCoR Collaborations Program (FEC) (24-573),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/354269,354269,24-573,05/17/2024,01/27/2026,posted
Historically Black Colleges and Universities - Excellence in Research (23-598),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/348599,348599,23-598,06/08/2023,10/21/2025,posted
Forecast to Publish a Funding Opportunity Announcement for Research Centers in Minority Institutions (RCMI) (U54 - Clinical Trial Optional) (FOR-MD-25-004),National Institutes of Health,https://www.grants.gov/search-results-detail/359665,359665,FOR-MD-25-004,06/10/2025,,forecasted
U.S. Mission Italy PDS Annual Program Statement (PDSITALYFY24),U.S. Mission to Italy,https://www.grants.gov/search-results-detail/351231,351231,PDSITALYFY24,11/30/2023,,forecasted
Centers of Research Excellence in Science and Technology - Research Infrastructure for Science and Engineering (24-562),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/359061,359061,24-562,05/21/2025,08/07/2026,posted
Global Health Security Partnership Engagement: Continuing to Expand Efforts and Strategies to Protect and Improve Public Health in Cameroon (CDC-RFA-JG-26-0041),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360329,360329,CDC-RFA-JG-26-0041,08/21/2025,,forecasted
EDU Core Research: Building Capacity in STEM Education Research (ECR: BCSER) (22-548),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/337130,337130,22-548,12/24/2021,02/27/2026,posted
Centers for Genomics Research Capacity Building (FOR-HG-26-001),National Institutes of Health,https://www.grants.gov/search-results-detail/358856,358856,FOR-HG-26-001,07/17/2025,,forecasted
"Enhancing Capacity &amp; Accelerating Sustainability of Public Health Systems in India to Prevent, Detect and Respond to Infectious Disease Outbreaks and Other Public Health Emergencies (CDC-RFA-JG-26-0051)",Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360336,360336,CDC-RFA-JG-26-0051,08/22/2025,,forecasted
Improving Health Security and Building International Health Regulations Core Capacities in the Republic of Uganda (CDC-RFA-JG-26-0054),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360339,360339,CDC-RFA-JG-26-0054,08/22/2025,,forecasted
"Strengthening and Development of Sustainable Regional Public Health and Epidemiological Workforce Capacity through Collaboration, Program Development, and Implementation (CDC-RFA-JG-26-0108)",Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360345,360345,CDC-RFA-JG-26-0108,08/22/2025,,forecasted
