Grant Name,Sponsor,Link,Opp ID,Opportunity Number,Open Date,Deadline,Status
Promoting Human Rights For Vulnerable Children in Haut-Katanga (DRC-ARDF-FY20-01),U.S. Mission to the Democratic Republic of Congo,https://www.grants.gov/search-results-detail/334551,334551,DRC-ARDF-FY20-01,07/02/2021,,forecasted
"Residential (Group Home, Shelter, Transitional Foster Care) Services for Unaccompanied Alien Children (HHS-2025-ACF-ORR-ZU-0042)",Administration for Children and Families - ORR,https://www.grants.gov/search-results-detail/357220,357220,HHS-2025-ACF-ORR-ZU-0042,08/15/2025,10/14/2025,posted
Notice of Intent to Publish a Funding Opportunity Announcement for Impact of Technology and Digital Media Exposure Usage on Child and Adolescent Development (NOT-HD-25-008),National Institutes of Health,https://www.grants.gov/search-results-detail/359070,359070,NOT-HD-25-008,06/25/2025,,forecasted
Support for a National Electronic Interstate Records Exchange System (HHS-2025-ACF-ACYF-CO-0079),Administration for Children and Families - ACYF/CB,https://www.grants.gov/search-results-detail/356022,356022,HHS-2025-ACF-ACYF-CO-0079,08/13/2024,,forecasted
Residential (Long Term Foster Care) Services for Unaccompanied Children (HHS-2023-ACF-ORR-ZU-0162),Administration for Children and Families - ORR,https://www.grants.gov/search-results-detail/340671,340671,HHS-2023-ACF-ORR-ZU-0162,05/25/2022,,forecasted
Prevention Services Evaluation Partnerships: Supporting Adoptive Families (HHS-2025-ACF-OPRE-FA-0101),Administration for Children and Families - OPRE,https://www.grants.gov/search-results-detail/355490,355490,HHS-2025-ACF-OPRE-FA-0101,07/08/2025,09/08/2025,posted
Health Home for Children with Medically Complex Conditions (CMS-3J3-23-001),Centers for Medicare & Medicaid Services,https://www.grants.gov/search-results-detail/343826,343826,CMS-3J3-23-001,09/30/2022,10/01/2025,posted
Translational Research in Maternal and Pediatric Pharmacology and Therapeutics (R01 Clinical Trial Optional) (PAR-25-110),National Institutes of Health,https://www.grants.gov/search-results-detail/357184,357184,PAR-25-110,11/18/2024,05/07/2026,posted
Translational Research in Maternal and Pediatric Pharmacology and Therapeutics (R21 Clinical Trial Optional) (PAR-25-111),National Institutes of Health,https://www.grants.gov/search-results-detail/357185,357185,PAR-25-111,11/18/2024,05/07/2026,posted
Advancement and Innovation in Measurement of Language Development and Predictors (R01 Clinical Trial Not Allowed) (PAR-25-112),National Institutes of Health,https://www.grants.gov/search-results-detail/357186,357186,PAR-25-112,11/18/2024,09/07/2027,posted
Advancement and Innovation in Measurement of Language Development and Predictors (R21 Clinical Trial Not Allowed) (PAR-25-113),National Institutes of Health,https://www.grants.gov/search-results-detail/357187,357187,PAR-25-113,11/18/2024,09/07/2027,posted
Information and Practice Needs Relevant to Late Talking Children (R21 Clinical Trial Not Allowed) (PAR-25-217),National Institutes of Health,https://www.grants.gov/search-results-detail/357254,357254,PAR-25-217,11/20/2024,10/02/2025,posted
Leveraging Extant Data to Understand Developmental Trajectories of Late Talking Children (R21 Clinical Trial Not Allowed) (PAR-25-220),National Institutes of Health,https://www.grants.gov/search-results-detail/357253,357253,PAR-25-220,11/20/2024,10/02/2025,posted
Grants to Support New Investigators in Conducting Research Related to Preventing Interpersonal Violence Impacting Children and Youth (RFA-CE-26-021),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/360270,360270,RFA-CE-26-021,08/08/2025,,forecasted
OJJDP FY25 National Center for Missing &amp; Exploited Children &ndash; IAA USSS Invited to Apply (O-OJJDP-2025-172442),Office of Juvenile Justice Delinquency Prevention ,https://www.grants.gov/search-results-detail/360410,360410,O-OJJDP-2025-172442,08/29/2025,09/03/2025,posted
Family Violence Prevention and Services Discretionary Grant Program/ National Indigenous Domestic Violence Hotline (HHS-2025-ACF-OFVPS-EV-0004),Administration for Children and Families - OFVPS,https://www.grants.gov/search-results-detail/355697,355697,HHS-2025-ACF-OFVPS-EV-0004,08/20/2025,09/04/2025,posted
Cooperative Research Agreements Related to the World Trade Center Health Program (U01) (RFA-OH-26-001),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/356163,356163,RFA-OH-26-001,08/22/2024,,forecasted
Ambassador&rsquo;s Special Self-Help Fund (AFKIN-21-01),U.S. Mission to the Democratic Republic of Congo,https://www.grants.gov/search-results-detail/334013,334013,AFKIN-21-01,06/07/2021,,forecasted
Forecast to Renew the Notice of Funding Opportunity Announcement for the Multiple Chronic Disease Research Centers (FOR-MD-25-002),National Institutes of Health,https://www.grants.gov/search-results-detail/358870,358870,FOR-MD-25-002,05/12/2025,,forecasted
HEAL Initiative: HEALthy Brain and Child Development (HBCD) Study (Collaborative U01- Clinical Trial Not Allowed) (FOR-DA-26-002),National Institutes of Health,https://www.grants.gov/search-results-detail/358822,358822,FOR-DA-26-002,05/05/2025,,forecasted
National Center on Program Management and Quality Assurance (HHS-2026-ACF-OHS-HC-0103),Administration for Children and Families - OHS,https://www.grants.gov/search-results-detail/359837,359837,HHS-2026-ACF-OHS-HC-0103,06/26/2025,,forecasted
"National Center on Head Start Early Learning, Health and Family Engagement (HHS-2026-ACF-OHS-HC-0002)",Administration for Children and Families - OHS,https://www.grants.gov/search-results-detail/359836,359836,HHS-2026-ACF-OHS-HC-0002,06/26/2025,,forecasted
Improving Working Conditions in the Processing of Waste from Electrical and Electronic Equipment (E-Waste) (RFI-ILAB-25-01),Bureau of International Labor Affairs,https://www.grants.gov/search-results-detail/357899,357899,RFI-ILAB-25-01,12/23/2024,,forecasted
"Leveraging Network Infrastructure to Conduct Innovative Research for Women, Children, Pregnant and Lactating Women, and Persons with Disabilities (UG3/UH3 - Clinical Trial Optional) (PAR-25-311)",National Institutes of Health,https://www.grants.gov/search-results-detail/357730,357730,PAR-25-311,12/16/2024,11/15/2027,posted
Native Hawaiian Resource Center on Domestic Violence (HHS-2025-ACF-OFVPS-FV-0027),Administration for Children and Families - OFVPS,https://www.grants.gov/search-results-detail/355628,355628,HHS-2025-ACF-OFVPS-FV-0027,08/22/2025,09/02/2025,posted
Securing Fair and Reliable Critical Mineral Supply Chains (FOA-ILAB-25-15),Bureau of International Labor Affairs,https://www.grants.gov/search-results-detail/360111,360111,FOA-ILAB-25-15,08/27/2025,09/26/2025,posted
Rural Community Development Program (RCD) Water and Wastewater Treatment Systems Training and Technical Assistance Project (HHS-2025-ACF-OCS-EF-0177),Administration for Children and Families - OCS,https://www.grants.gov/search-results-detail/355619,355619,HHS-2025-ACF-OCS-EF-0177,07/25/2024,,forecasted
Community Economic Development Projects (HHS-2025-ACF-OCS-EE-0118),Administration for Children and Families - OCS,https://www.grants.gov/search-results-detail/355604,355604,HHS-2025-ACF-OCS-EE-0118,07/24/2024,,forecasted
U.S. Embassy Praia Ambassador&rsquo;s Special Self-Help (SSH) Program (AFPRA-20-04),U.S. Mission to Cape Verde,https://www.grants.gov/search-results-detail/325599,325599,AFPRA-20-04,03/19/2020,,posted
Clinical Trials Addressing Unmet Needs of Rare Neurodegenerative Diseases (R01) Clinical Trials Required (FOR-FD-25-001),Food and Drug Administration,https://www.grants.gov/search-results-detail/356054,356054,FOR-FD-25-001,08/14/2024,,forecasted
Assessment and Evaluation of Emerging Health Conditions Relevant to the World Trade Center Health Program (U01) (RFA-OH-26-002),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/356164,356164,RFA-OH-26-002,08/22/2024,,forecasted
Health Equity Data Access Program (HEDAP) (CMS-2L2-25-001),Centers for Medicare & Medicaid Services,https://www.grants.gov/search-results-detail/355646,355646,CMS-2L2-25-001,07/25/2024,,forecasted
Studies Addressing Rare Neurodegenerative Diseases including ALS (FOR-FD-25-006),Food and Drug Administration,https://www.grants.gov/search-results-detail/356046,356046,FOR-FD-25-006,08/14/2024,,forecasted
Lifespan Respite Care Program: Grants to New States and States Re-Establishing Their Core Respite Infrastructures (HHS-2025-ACL-AOA-LRLR-0005),Administration for Community Living,https://www.grants.gov/search-results-detail/355795,355795,HHS-2025-ACL-AOA-LRLR-0005,08/01/2024,,forecasted
Early Immune System Development and Ontogeny (R01 Clinical Trial Optional) (PAR-25-362),National Institutes of Health,https://www.grants.gov/search-results-detail/357937,357937,PAR-25-362,12/30/2024,01/07/2029,posted
Adult-Adolescent Brain Cognitive Development (A-ABCD) Study Renewal-Research Project Sites (U01) (FOR-DA-27-002),National Institutes of Health,https://www.grants.gov/search-results-detail/358885,358885,FOR-DA-27-002,05/28/2025,,forecasted
Martin Delaney Collaboratories for HIV Cure Research (FOR-AI-27-001),National Institutes of Health,https://www.grants.gov/search-results-detail/359663,359663,FOR-AI-27-001,06/10/2025,,forecasted
Limited Competition for the HEAL Initiative: HEALthy Brain and Child Development (HBCD) Study &ndash; Coordinating Administrative Core and Data Coordinating Center (U24 Clinical Trial Not Allowed) (FOR-DA-26-003),National Institutes of Health,https://www.grants.gov/search-results-detail/358853,358853,FOR-DA-26-003,05/09/2025,,forecasted
Forecast for NINDS Child Neurologist Career Development Program (CNCDP) (K12 - Clinical Trial Not Allowed) (FOR-NS-25-006),National Institutes of Health,https://www.grants.gov/search-results-detail/358860,358860,FOR-NS-25-006,05/09/2025,,forecasted
Research Opportunities in Crisis Response Services for Suicide Prevention (R01 Clinical Trial Optional) (RFA-MH-25-135),National Institutes of Health,https://www.grants.gov/search-results-detail/354934,354934,RFA-MH-25-135,06/13/2024,10/08/2025,posted
"Adult-Adolescent Brain Cognitive Development (A-ABCD) Study Renewal-Data Analysis, Informatics and Resource Center, and Coordinating Center (U24) (FOR-DA-27-007)",National Institutes of Health,https://www.grants.gov/search-results-detail/359275,359275,FOR-DA-27-007,06/06/2025,,forecasted
"Notice of Intent to Publish a Funding Opportunity Announcement for HIV Pediatric, Adolescent and Maternal Clinical Trials (NOT-HD-25-007)",National Institutes of Health,https://www.grants.gov/search-results-detail/358992,358992,NOT-HD-25-007,06/25/2025,,forecasted
Viral INfections in the Young Lung- The VINYL Clinical Consortium- Data Analytics and Coordinating Center (DACC) (U24 Clinical Trial Optional) (FOR-HL-25-033),National Institutes of Health,https://www.grants.gov/search-results-detail/359952,359952,FOR-HL-25-033,07/08/2025,,forecasted
Viral INfections in the Young Lung- The VINYL Clinical Consortium (UG3/UH3 Clinical Trial Optional) (FOR-HL-25-032),National Institutes of Health,https://www.grants.gov/search-results-detail/359951,359951,FOR-HL-25-032,07/08/2025,,forecasted
Novel Experiential Technologies Assisting Individual Learning (NExT AI) Hubs (FOR-HD-25-020),National Institutes of Health,https://www.grants.gov/search-results-detail/359949,359949,FOR-HD-25-020,07/08/2025,,forecasted
NIH Brain Development Cohorts (NBDC) Biospecimen Access (X01 Clinical Trial Not Allowed) (PAR-23-229),National Institutes of Health,https://www.grants.gov/search-results-detail/349847,349847,PAR-23-229,08/11/2023,05/05/2026,posted
Clinical Trials Addressing Unmet Needs of Rare Neurodegenerative Diseases (R01) Clinical Trials Required (RFA-FD-25-001),Food and Drug Administration,https://www.grants.gov/search-results-detail/356170,356170,RFA-FD-25-001,08/23/2024,10/21/2025,posted
Confirmatory Efficacy Clinical Trials of Non-Pharmacological and Pharmacological Interventions for Mental Disorders (R01 Clinical Trial Required) (PAR-25-179),National Institutes of Health,https://www.grants.gov/search-results-detail/357423,357423,PAR-25-179,11/26/2024,10/15/2027,posted
NHLBI Early Phase Clinical Trials for Therapeutics and/or Diagnostics for HLBS Disorders (R33 CT Required) (PAR-25-025),National Institutes of Health,https://www.grants.gov/search-results-detail/357542,357542,PAR-25-025,12/05/2024,01/07/2027,posted
NHLBI Early Phase Clinical Trials for Therapeutics and/or Diagnostics for HLBS Disorders (R61/R33 Clinical Trial Required) (PAR-25-026),National Institutes of Health,https://www.grants.gov/search-results-detail/357543,357543,PAR-25-026,12/05/2024,01/07/2027,posted
