Grant Name,Sponsor,Link,Open Date,Deadline,Status
Fire Science Innovations through Research and Education (PD-25-345Y),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/358568,03/16/2025,02/10/2026,posted
Pilot Projects Enhancing Utility and Usage of Common Fund Data Sets (R03 Clinical Trial Not Allowed) (NOT-RM-25-015),National Institutes of Health,https://www.grants.gov/search-results-detail/359879,06/30/2025,,forecasted
Human Networks and Data Science (23-568),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/348260,05/20/2023,02/05/2026,posted
Research Infrastructure in the Social and Behavioral Sciences (PD-23-277Y),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/350469,10/05/2023,,posted
D-START: Data Science Track Award for Research Transition (D/START) (R03-Clinical Trial Optional) (PAS-25-236),National Institutes of Health,https://www.grants.gov/search-results-detail/357733,12/16/2024,09/07/2027,posted
Cyberinfrastructure for Public Access and Open Science (PD-24-7414),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/353475,04/10/2024,,posted
Continuation and Expansion of the National Mesothelioma Virtual Bank for Translational Research (U24) (RFA-OH-26-024),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/360194,07/31/2025,,forecasted
Clinical Data Ecosystem for Genomics (CDEG) (FOR-HG-26-005),National Institutes of Health,https://www.grants.gov/search-results-detail/359208,07/17/2025,,forecasted
Findable Accessible Interoperable Reusable Open Science (25-533),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/358036,01/07/2025,04/08/2026,posted
BRAIN Initiative: Data Archives for the BRAIN Initiative (R24 Clinical Trial Optional) (RFA-MH-25-110),National Institutes of Health,https://www.grants.gov/search-results-detail/353059,03/19/2024,06/24/2026,posted
Small Research Grants for Analyses of Gabriella Miller Kids First Pediatric Research Data (R03 Clinical Trial Not Allowed) (PAR-25-109),National Institutes of Health,https://www.grants.gov/search-results-detail/357178,11/18/2024,11/16/2025,posted
State Occupational Safety and Health Surveillance Program (U60) (RFA-OH-26-007),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/357417,11/27/2024,,forecasted
Limited Competition: International epidemiology Databases to Evaluate AIDS (IeDEA) (U01 Clinical Trial Not Allowed) (NOT-AI-25-032),National Institutes of Health,https://www.grants.gov/search-results-detail/359142,05/27/2025,,forecasted
"Research on the Science and Technology Enterprise: Indicators, Statistics, and Methods (NCSES S&amp;T) (24-587)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/355219,07/01/2024,01/20/2026,posted
Test Bed: Toward a Network of Programmable Cloud Laboratories (25-541),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/360244,08/05/2025,11/20/2025,posted
NIDCR Small Research Grants for Analyses of Existing Genomics Data (R03 Clinical Trial Not Allowed) (PAR-25-166),National Institutes of Health,https://www.grants.gov/search-results-detail/357210,11/18/2024,05/07/2026,posted
NIDCR Research Grants for Analyses of Existing Genomics Data (R01) (Clinical Trial Not Allowed) (PAR-25-164),National Institutes of Health,https://www.grants.gov/search-results-detail/357212,11/18/2024,05/07/2026,posted
