Grant Name,Sponsor,Link,Opp ID,Opportunity Number,Open Date,Deadline,Status
Forecast to Publish a Notice of Funding Opportunity for Academic Career Excellence (ACE) Award (K32 - Clinical Trial Required) (NOT-CA-25-102),National Institutes of Health,https://www.grants.gov/search-results-detail/359894,359894,NOT-CA-25-102,07/01/2025,,forecasted
Forecast for HEAL Initiative: Non-addictive Analgesic Therapeutics Development [Small Molecules and Biologics] to Treat Pain (UG3/UH3 Clinical Trial Optional (FOR-NS-25-002),National Institutes of Health,https://www.grants.gov/search-results-detail/359161,359161,FOR-NS-25-002,05/28/2025,,forecasted
Forecast to Publish a Funding Opportunity Announcement for Early-Stage Development of Informatics Technologies for Cancer Research and Management (U01 Clinical Trial Optional) (FOR-CA-25-073),National Institutes of Health,https://www.grants.gov/search-results-detail/359892,359892,FOR-CA-25-073,07/02/2025,,forecasted
SEEDING CRITICAL ADVANCES FOR LEADING ENERGY TECHNOLOGIES WITH UNTAPPED POTENTIAL (SCALEUP) READY (DE-FOA-0003467),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/356623,356623,DE-FOA-0003467,10/02/2024,09/29/2029,posted
Research in the Formation of Engineers (PD-24-1340),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/350230,350230,PD-24-1340,09/17/2023,,posted
Forecast to Publish a Notice of Funding Opportunity for Paul Calabresi Career Development Award in Clinical Oncology (K12 Clinical Trial Optional) (NOT-CA-25-105),National Institutes of Health,https://www.grants.gov/search-results-detail/359889,359889,NOT-CA-25-105,07/01/2025,,forecasted
FY 2023 EDA Public Works and Economic Adjustment Assistance Programs (PWEAA2023),Economic Development Administration,https://www.grants.gov/search-results-detail/346815,346815,PWEAA2023,03/14/2023,,posted
Atlanta FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-ATL-TA-ATRO-2021-2006846),Department of Commerce,https://www.grants.gov/search-results-detail/332052,332052,EDA-ATL-TA-ATRO-2021-2006846,03/15/2021,,posted
Denver FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-DEN-TA-DRO-2021-2006850),Department of Commerce,https://www.grants.gov/search-results-detail/332126,332126,EDA-DEN-TA-DRO-2021-2006850,03/15/2021,,posted
Austin FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-AUS-TA-AURO-2021-2006848),Department of Commerce,https://www.grants.gov/search-results-detail/332137,332137,EDA-AUS-TA-AURO-2021-2006848,03/15/2021,,posted
