Grant Name	Sponsor	Link	Opp ID	Opportunity Number	Open Date	Deadline	Status	Award max	Award min	Match %	Funding Instrument	Categories	Eligibility	Synopsis snippet
Mathematical Foundations of Digital Twins (24-559)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/353134	353134	24-559	03/23/2024	03/16/2026	posted							
Laboratories to Optimize Digital Health (R01 Clinical Trial Required) (PAR-25-136)	National Institutes of Health	https://www.grants.gov/search-results-detail/357034	357034	PAR-25-136	11/07/2024	01/07/2028	posted							
Manufacturing Systems Integration (PD-23-229Y)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/345354	345354	PD-23-229Y	01/12/2023		posted							
Foundations for Digital Twins as Catalyzers of Biomedical Technological Innovation (24-561)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/353135	353135	24-561	03/23/2024	05/04/2026	posted							
Funding for New Counter-Disinformation Game (S-NL800-20-GR-3011)	U.S. Mission to the Netherlands	https://www.grants.gov/search-results-detail/334791	334791	S-NL800-20-GR-3011	07/19/2021		forecasted							
National Digital Newspaper Program (20260109-PJ)	National Endowment for the Humanities	https://www.grants.gov/search-results-detail/358394	358394	20260109-PJ	08/20/2025	01/15/2026	posted							
Understanding the Intersection of Forced Scamming and Child Labor in Southeast Asia (RFI-ILAB-24-01)	Bureau of International Labor Affairs	https://www.grants.gov/search-results-detail/357126	357126	RFI-ILAB-24-01	11/14/2024		forecasted							
Notice of Intent to Publish a Funding Opportunity Announcement for Impact of Technology and Digital Media Exposure Usage on Child and Adolescent Development (NOT-HD-25-008)	National Institutes of Health	https://www.grants.gov/search-results-detail/359070	359070	NOT-HD-25-008	06/25/2025		forecasted							
TECHGATE (DFOP0017381)	Bureau of Cyberspace and Digital Policy	https://www.grants.gov/search-results-detail/360102	360102	DFOP0017381	07/22/2025	08/29/2025	posted							
Media Training &amp; Development (MT&amp;D)  Small Grants Program (FY-2021VE002)	U.S. Mission to Venezuela	https://www.grants.gov/search-results-detail/333291	333291	FY-2021VE002	05/04/2021		forecasted							
Dynamic Language Infrastructure &ndash; Documenting Endangered Languages Fellowships (20250910-FN)	National Endowment for the Humanities	https://www.grants.gov/search-results-detail/356523	356523	20250910-FN	09/25/2024		forecasted							
New Generation of Glucose Control Technologies Incorporating AI/ML Tools/Strategies (NOT-DK-26-307)	National Institutes of Health	https://www.grants.gov/search-results-detail/359200	359200	NOT-DK-26-307	06/18/2025		forecasted							
Public Diplomacy Small Grants Program (DOS-USEU-PD-2020-002)	U.S. Mission to the European Union	https://www.grants.gov/search-results-detail/327185	327185	DOS-USEU-PD-2020-002	05/20/2020		forecasted							
Small Business Translator: MedTech and Digital Health Technologies (FOR-NS-25-017)	National Institutes of Health	https://www.grants.gov/search-results-detail/359156	359156	FOR-NS-25-017	05/28/2025		forecasted							
Using Innovative Digital Healthcare Solutions to Improve Quality at the Point of Care (R21/R33 - Clinical Trial Optional) (PA-24-266)	Agency for Health Care Research and Quality	https://www.grants.gov/search-results-detail/355533	355533	PA-24-266	07/19/2024	07/31/2026	posted							
Digital Health Technology Derived Biomarkers and Outcome Assessments for Remote Monitoring and Endpoint Development (UG3/UH3 - Clinical Trial Optional) (PAR-25-170)	National Institutes of Health	https://www.grants.gov/search-results-detail/357087	357087	PAR-25-170	11/13/2024	06/22/2026	posted							
Rediscovering Our Revolutionary Tradition (20250904-PQ)	National Endowment for the Humanities	https://www.grants.gov/search-results-detail/359731	359731	20250904-PQ	06/16/2025	09/04/2025	posted							
EducationUSA Fair 2025 (PAS-JOR-FY25-002)	U.S. Mission to Jordan	https://www.grants.gov/search-results-detail/358813	358813	PAS-JOR-FY25-002	05/05/2025		forecasted							
Notice of Intent (NOI) related to &quot;HARMONY: Human-Centric Analytics for Resilient &amp; Modernized Power sYstems&rdquo; (DE-FOA-0003445)	National Energy Technology Laboratory	https://www.grants.gov/search-results-detail/356444	356444	DE-FOA-0003445	09/17/2024	12/31/2025	posted							
U.S. Mission T&uuml;rkiye Public Diplomacy Grants Program (TR-NOFO-FY25-02)	Bureau of European and Eurasian Affairs	https://www.grants.gov/search-results-detail/358883	358883	TR-NOFO-FY25-02	05/12/2025		forecasted							
Promote Transparency by Enhancing Citizens&rsquo; Access to Information on Public Revenues. (PGO-FY2024-FTIF-01)	U.S. Mission to Mauritania	https://www.grants.gov/search-results-detail/360246	360246	PGO-FY2024-FTIF-01	08/06/2025	09/08/2025	posted							
LPS Qubit Collaboratory (LQC) (W911NF21S0009)	Dept of the Army -- Materiel Command	https://www.grants.gov/search-results-detail/332894	332894	W911NF21S0009	04/16/2021	04/30/2026	posted							
NSF Dynamic Language Infrastructure - NEH Documenting Endangered Languages (22-615)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/342475	342475	22-615	07/17/2022	09/15/2025	posted							
Dynamic Language Infrastructure-Doctoral Dissertation Research Improvement Grants (22-616)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/342476	342476	22-616	07/17/2022	09/15/2025	posted							
Mission Spain Public Diplomacy 2022 Annual Program Statement (ESP22APS)	U.S. Mission to Spain	https://www.grants.gov/search-results-detail/336244	336244	ESP22APS	11/02/2021		posted							
Computational and Data-Enabled Science and Engineering in Mathematical and Statistical Sciences (PD-22-8069)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/341998	341998	PD-22-8069	07/11/2022		posted							
Bidirectional Influences Between Adolescent Social Media Use and Mental Health (R21 Clinical Trial Optional) (RFA-MH-25-206)	National Institutes of Health	https://www.grants.gov/search-results-detail/356911	356911	RFA-MH-25-206	10/30/2024	10/20/2025	posted							
NLM Research Grants in Biomedical Informatics and Data Science (R01 Clinical Trial Optional) (PAR-23-034)	National Institutes of Health	https://www.grants.gov/search-results-detail/343957	343957	PAR-23-034	10/06/2022	01/07/2026	posted							
Single Source: Accelerating Medicines Partnership&reg; Schizophrenia (AMP&reg; SCZ): Clinical Trial Data Processing, Analysis, and Coordination Center (FOR-MH-26-205)	National Institutes of Health	https://www.grants.gov/search-results-detail/359699	359699	FOR-MH-26-205	06/17/2025		forecasted							
Fire Science Innovations through Research and Education (PD-25-345Y)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/358568	358568	PD-25-345Y	03/16/2025	02/10/2026	posted							
Development of Medications to Prevent and Treat Substance Use Disorders and Overdose (UG3/UH3 - Clinical Trial Optional) (FOR-DA-26-004)	National Institutes of Health	https://www.grants.gov/search-results-detail/358937	358937	FOR-DA-26-004	05/13/2025		forecasted							
NLM Research Grants in Biomedical Informatics and Data Science (R01 Clinical Trial Optional) (PAR-25-238)	National Institutes of Health	https://www.grants.gov/search-results-detail/357380	357380	PAR-25-238	11/25/2024	03/05/2026	posted							
U.S. Embassy Luanda Public Diplomacy Section Request for a Full Proposal Application (DOS-PAS-ANG-FY25-01)	U.S. Mission to Angola	https://www.grants.gov/search-results-detail/358783	358783	DOS-PAS-ANG-FY25-01	04/30/2025		forecasted							
NIH Blueprint for Neuroscience: Coordination Center for Interoception Research (BPCCIR) (U24, Clinical Trial Not Allowed) (NOT-AT-25-005)	National Institutes of Health	https://www.grants.gov/search-results-detail/358814	358814	NOT-AT-25-005	05/05/2025		forecasted							
Research Grants in Clinical Informatics (R01 Clinical Trial Optional) (FOR-LM-25-002)	National Institutes of Health	https://www.grants.gov/search-results-detail/359004	359004	FOR-LM-25-002	07/22/2025		forecasted							
Bidirectional Influences Between Adolescent Social Media Use and Mental Health (R01 Clinical Trial Optional) (RFA-MH-25-205)	National Institutes of Health	https://www.grants.gov/search-results-detail/356910	356910	RFA-MH-25-205	10/30/2024	10/20/2025	posted							
Modular R01s in Cancer Control and Population Sciences (R01 Clinical Trial Optional) (PA-25-172)	National Institutes of Health	https://www.grants.gov/search-results-detail/357030	357030	PA-25-172	11/07/2024	01/07/2028	posted							
Mechanisms that Impact Cancer Risk after Bariatric Surgery (R21 Clinical Trial Not Allowed) (PAR-25-044)	National Institutes of Health	https://www.grants.gov/search-results-detail/356342	356342	PAR-25-044	09/05/2024	01/07/2028	posted							
PDS Italy Annual Program Statement (202501)	U.S. Mission to Italy	https://www.grants.gov/search-results-detail/357680	357680	202501	12/12/2024		forecasted							
Improving Working Conditions in the Processing of Waste from Electrical and Electronic Equipment (E-Waste) (RFI-ILAB-25-01)	Bureau of International Labor Affairs	https://www.grants.gov/search-results-detail/357899	357899	RFI-ILAB-25-01	12/23/2024		forecasted							
Collaborative Research (20251119-RZ)	National Endowment for the Humanities	https://www.grants.gov/search-results-detail/357536	357536	20251119-RZ	12/05/2024		forecasted							
Security, Privacy, and Trust in Cyberspace (25-515)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/357554	357554	25-515	12/06/2024	09/29/2025	posted							
Scholarly Editions and Translations (20241127-RQ)	National Endowment for the Humanities	https://www.grants.gov/search-results-detail/351491	351491	20241127-RQ	07/25/2024	12/03/2025	posted							
Enhancing Interpretation at Ford's Theatre (P17AS00001)	National Park Service	https://www.grants.gov/search-results-detail/289185	289185	P17AS00001	09/28/2016		posted							
Partnerships with MCC Program (95332419N0001)	Millennium Challenge Corporation	https://www.grants.gov/search-results-detail/314279	314279	95332419N0001	03/26/2019	03/31/2027	posted							
Research Interests of the United States Air Force Academy (formerly USAFA-BAA-2021) (FA7000-21-S-0001)	Air Force Academy	https://www.grants.gov/search-results-detail/330175	330175	FA7000-21-S-0001	12/02/2020		posted							
Air Delivered Effects (FA8651-22-S-0001)	Munitions Directorate	https://www.grants.gov/search-results-detail/338821	338821	FA8651-22-S-0001	03/22/2022	03/21/2027	posted							
Cooperative Agreement for affiliated Partner with the Desert Southwest Cooperative Ecosystem Studies Unit (CESU) (G25AS00333)	Geological Survey	https://www.grants.gov/search-results-detail/360168	360168	G25AS00333	07/29/2025	08/29/2025	posted							
Cooperative Agreement for affiliated Partner with the Desert Southwest Cooperative Ecosystem Studies Unit (CESU) (G25AS00326)	Geological Survey	https://www.grants.gov/search-results-detail/359978	359978	G25AS00326	07/10/2025	08/31/2025	posted							
Cooperative Agreement for affiliated Partner with the North Atlantic Coast Cooperative Ecosystem Studies Unit (G25AS00341)	Geological Survey	https://www.grants.gov/search-results-detail/360271	360271	G25AS00341	08/08/2025	09/08/2025	posted							
Cooperative Agreement for affiliated Partner with the Great Rivers Cooperative Ecosystem Studies Unit (CESU) (G25AS00340)	Geological Survey	https://www.grants.gov/search-results-detail/360272	360272	G25AS00340	08/08/2025	09/08/2025	posted							
Cooperative Agreement for affiliated Partner with the Great Basin Cooperative Ecosystem Studies Unit (G25AS00342)	Geological Survey	https://www.grants.gov/search-results-detail/360273	360273	G25AS00342	08/08/2025	09/08/2025	posted							
Cooperative Agreement for affiliated Partner with the Rocky Mountain Cooperative Ecosystem Studies Unit (CESU) (G25AS00343)	Geological Survey	https://www.grants.gov/search-results-detail/360321	360321	G25AS00343	08/20/2025	09/20/2025	posted							
Cooperative Agreement for affiliated Partner with the Great Lakes-Northern Forest Cooperative Ecosystem Studies Unit (CESU) (G25AS00346)	Geological Survey	https://www.grants.gov/search-results-detail/360349	360349	G25AS00346	08/22/2025	09/22/2025	posted							
Cooperative Agreement for Affiliated Partner with the Great Rivers Cooperative Ecosystem Studies Unit (CESU) (G25AS00345)	Geological Survey	https://www.grants.gov/search-results-detail/360348	360348	G25AS00345	08/22/2025	09/22/2025	posted							
Cooperative Agreement for affiliated Partner with the Southern Appalachian Cooperative Ecosystem Studies Unit (CESU) (G25AS00344)	Geological Survey	https://www.grants.gov/search-results-detail/360347	360347	G25AS00344	08/22/2025	09/22/2025	posted							
Cooperative Agreement for affiliated Partner with the Great Basin Cooperative Ecosystem Studies Unit (CESU) (G25AS00348)	Geological Survey	https://www.grants.gov/search-results-detail/360346	360346	G25AS00348	08/22/2025	09/22/2025	posted							
Cooperative Agreement for affiliated Partner with the Colorado Plateau Cooperative Ecosystem Studies Unit (G25AS00347)	Geological Survey	https://www.grants.gov/search-results-detail/360340	360340	G25AS00347	08/22/2025	09/21/2025	posted							
FY 2026 International Visitor Leadership Program Collaborative Services (DFOP0017389)	Bureau Of Educational and Cultural Affairs	https://www.grants.gov/search-results-detail/359958	359958	DFOP0017389	07/09/2025	09/08/2025	posted							
Public Humanities Projects (20250813-BP-BR-GE-GG-GI)	National Endowment for the Humanities	https://www.grants.gov/search-results-detail/358390	358390	20250813-BP-BR-GE-GG-GI	07/16/2025	09/10/2025	posted							
FY 2026 International Visitor Leadership Program&rsquo;s National Program Agencies (DFOP0017385)	Bureau Of Educational and Cultural Affairs	https://www.grants.gov/search-results-detail/359957	359957	DFOP0017385	07/09/2025	09/08/2025	posted							
Humanities Research Centers on Artificial Intelligence (20251210-RAI)	National Endowment for the Humanities	https://www.grants.gov/search-results-detail/357951	357951	20251210-RAI	07/08/2025	10/01/2025	posted							
Port Infrastructure Development Program (MA-PID-25-001)	Maritime Administration	https://www.grants.gov/search-results-detail/358404	358404	MA-PID-25-001	01/31/2025	09/10/2025	posted							
Celebrating America's 250th Anniversary (APS 2025) (PDS-FRANCE-FY2025-02)	U.S. Mission to France	https://www.grants.gov/search-results-detail/359745	359745	PDS-FRANCE-FY2025-02	06/27/2025	01/05/2026	posted							
Continuing Human Enabling Enhancing Restoring and Sustaining (FA238424S2233)	Air Force -- Research Lab	https://www.grants.gov/search-results-detail/360258	360258	FA238424S2233	08/07/2025	08/22/2044	posted							
NDEP STEM Open NFO (HQ003423NFOEASD01)	Washington Headquarters Services	https://www.grants.gov/search-results-detail/345938	345938	HQ003423NFOEASD01	02/09/2023	02/08/2028	posted							
Long Range Broad Agency Announcement (BAA) for NSWC Crane (N0016424SNB35)	NSWC CRANE - N00164	https://www.grants.gov/search-results-detail/352238	352238	N0016424SNB35	02/08/2024		posted							
Air Dominance Broad Agency Announcement (BAA) (FA865125S0001)	Munitions Directorate	https://www.grants.gov/search-results-detail/358674	358674	FA865125S0001	04/14/2025	10/31/2029	posted							
Measurement Science and Engineering (MSE) Research Grant Programs (2025-NIST-MSE-01)	National Institute of Standards and Technology	https://www.grants.gov/search-results-detail/358955	358955	2025-NIST-MSE-01	05/14/2025		posted							
MINE HEALTH AND SAFETY STATE GRANTS (MSHA-2025-1)	Mine Safety and Health Administration	https://www.grants.gov/search-results-detail/360276	360276	MSHA-2025-1	08/11/2025	09/09/2025	posted							
U.S. Embassy Jakarta PAS Annual Program Statement (PAS-JAKARTA-FY20-02)	U.S. Mission to Indonesia	https://www.grants.gov/search-results-detail/324459	324459	PAS-JAKARTA-FY20-02	02/14/2020		forecasted							
Naval Engineering Education Consortium (NEEC) Broad Agency Announcement for Fiscal Year 2026 (N00178-26-0001)	NSWC Dahlgren	https://www.grants.gov/search-results-detail/360183	360183	N00178-26-0001	07/30/2025		forecasted							
Pioneering Aerospace Capabilities, Engineering and Research (PACER) (FA2391-23-S-2403)	Air Force -- Research Lab	https://www.grants.gov/search-results-detail/349554	349554	FA2391-23-S-2403	07/26/2023	05/10/2043	posted							
Mgt, Species, Pollinators, Western Bumble bee Joint Base Elmendorf- Richardson, Alaska (W9126G-23-2-SOI-3250)	Department of Defense	https://www.grants.gov/search-results-detail/348746	348746	W9126G-23-2-SOI-3250	06/15/2023		forecasted							
MINORITY SERVING INSTITUTIONS PARTNERSHIP PROGRAM (MSIPP) CONSORTIA GRANT PROGRAM (CGP) (DE-FOA-0003285)	NNSA	https://www.grants.gov/search-results-detail/351714	351714	DE-FOA-0003285	01/05/2024	06/15/2026	posted							
FY25 Department of the Navy (DoN) Science, Technology, Engineering, and Mathematics (STEM) Education and Workforce Program (N0001425SF003)	Office of Naval Research	https://www.grants.gov/search-results-detail/358025	358025	N0001425SF003	01/07/2025	08/29/2025	posted							
RFI - DOE Infrastructure Work Scope Development (DE-SOL-0008318)	Idaho Field Office	https://www.grants.gov/search-results-detail/280970	280970	DE-SOL-0008318	01/14/2016		posted							
Brookwood-Sago Mine Safety Grants (FOA-BS-2025-1)	Mine Safety and Health Administration	https://www.grants.gov/search-results-detail/360323	360323	FOA-BS-2025-1	08/21/2025	09/19/2025	posted							
Fiscal Year (FY) 2026 Department of the Navy (DoN) Historically Black Colleges and Universities/Minority Institutions (HBCU/MI) Program (N0001425SF005)	Office of Naval Research	https://www.grants.gov/search-results-detail/359909	359909	N0001425SF005	07/02/2025	12/12/2025	posted							
American Prosperity:  Foreign Investment Readiness Program (PAS-JOR-FY25-006)	U.S. Mission to Jordan	https://www.grants.gov/search-results-detail/360185	360185	PAS-JOR-FY25-006	07/31/2025	09/01/2025	posted							
WATER RESOURCES RESEARCH ACT PROGRAM ANNUAL BASE GRANTS FISCAL YEAR 2025 (G25AS00486)	Geological Survey	https://www.grants.gov/search-results-detail/360217	360217	G25AS00486	08/01/2025	09/16/2025	posted							
Family Violence Prevention and Services Discretionary Grant Program/ National Indigenous Domestic Violence Hotline (HHS-2025-ACF-OFVPS-EV-0004)	Administration for Children and Families - OFVPS	https://www.grants.gov/search-results-detail/355697	355697	HHS-2025-ACF-OFVPS-EV-0004	08/20/2025	09/04/2025	posted							
NRL Long Range Broad Agency Announcement (BAA) for Basic and Applied Research (N00173-24-S-BA01)	Naval Research Laboratory	https://www.grants.gov/search-results-detail/352741	352741	N00173-24-S-BA01	03/01/2024	09/30/2025	posted							
FY 2025 Continuation of Solicitation for the Office of Science Financial Assistance Program (DE-FOA-0003432)	Office of Science	https://www.grants.gov/search-results-detail/356590	356590	DE-FOA-0003432	09/30/2024	09/30/2025	posted							
WATER RESOURCES RESEARCH ACT PROGRAM NATIONAL COMPETITIVE GRANTS FY2025 PROGRAM ANNOUNCEMENT For PER &ndash; AND POLYFLUOROALKYL SUBSTANCES (PFAS) (G25AS00484)	Geological Survey	https://www.grants.gov/search-results-detail/360310	360310	G25AS00484	08/15/2025	09/30/2025	posted							
WATER RESOURCES RESEARCH ACT PROGRAM NATIONAL COMPETITIVE GRANTS FY2025 PROGRAM ANNOUNCEMENT For AQUATIC INVASIVE SPECIES (G25AS00483)	Geological Survey	https://www.grants.gov/search-results-detail/360309	360309	G25AS00483	08/15/2025	09/30/2025	posted							
F24AS00298 Cooperative Agriculture (F24AS00298)	Fish and Wildlife Service	https://www.grants.gov/search-results-detail/352845	352845	F24AS00298	03/06/2024	03/07/2029	posted							
FY25 Naval Air Warfare Center Aircraft Division Office-Wide Broad Agency Announcement (N00421-25-S-0001)	NAVAIR	https://www.grants.gov/search-results-detail/359802	359802	N00421-25-S-0001	06/27/2025	06/22/2026	posted							
WATER RESOURCES RESEARCH ACT PROGRAM NATIONAL COMPETITIVE GRANTS FY2025 (104g General) (G25AS00485)	Geological Survey	https://www.grants.gov/search-results-detail/360311	360311	G25AS00485	08/15/2025	09/30/2025	posted							
Boosting Innovative GEOINT - Science &amp; Technology  Broad Agency Announcement (BIG-ST BAA) (HM047623BAA0001)	National Geospatial-Intelligence Agency 	https://www.grants.gov/search-results-detail/351404	351404	HM047623BAA0001	12/15/2023	12/14/2026	posted							
2023 Emerging Voices Small Grants Program (23-PHL-NOFO-EV)	U.S. Mission to the Philippines	https://www.grants.gov/search-results-detail/347707	347707	23-PHL-NOFO-EV	04/24/2023		forecasted							
