Grant Name,Sponsor,Link,Open Date,Deadline,Status
SEEDING CRITICAL ADVANCES FOR LEADING ENERGY TECHNOLOGIES WITH UNTAPPED POTENTIAL (SCALEUP) READY (DE-FOA-0003467),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/356623,10/02/2024,09/29/2029,posted
DHA-  Military Health System Research Program (HT942526MHSRP),Dept. of the Army -- USAMRAA,https://www.grants.gov/search-results-detail/359250,06/04/2025,10/17/2025,posted
Magnetic Acceleration Generating New Innovations and Tactical Outcomes (MAGNITO) (DE-FOA-0003590),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360355,08/25/2025,09/24/2025,posted
Reliable Ore Characterization with Keystone Sensing SBIR/STTR (ROCKS SBIR/STTR) (DE-FOA-0003593),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360354,08/25/2025,09/25/2025,posted
Reliable Ore Characterization with Keystone Sensing (ROCKS) (DE-FOA-0003592),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360353,08/25/2025,09/25/2025,posted
Cooperative Agreement for Affiliated Partner with the Great Rivers Cooperative Ecosystem Studies Unit (CESU) (G25AS00345),Geological Survey,https://www.grants.gov/search-results-detail/360348,08/22/2025,09/22/2025,posted
Renewable Energy Systems and Energy Efficiency Improvements Program (RDBCP-REAP-RES-EEI-2016),Rural Business-Cooperative Service ,https://www.grants.gov/search-results-detail/279638,10/13/2015,,posted
"Electronics, Photonics and Magnetic Devices (PD-18-1517)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/345872,02/08/2023,,posted
"Mind, Machine and Motor Nexus (PD-25-058Y)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/358682,04/16/2025,,posted
Awards Supporting Cutting-Edge Technologies for Translational Science (ASCETTS) (R21 Clinical Trials Not Allowed) (PAR-25-157),National Institutes of Health,https://www.grants.gov/search-results-detail/357625,12/10/2024,06/18/2026,posted
Catalysis (PD-23-1401),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/348932,06/27/2023,,posted
Electrochemical Systems (PD-23-7644),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/347329,04/05/2023,,posted
Clinical and Translational Science Award (UM1 Clinical Trial Optional) (PAR-24-272),National Institutes of Health,https://www.grants.gov/search-results-detail/356316,09/03/2024,09/28/2027,posted
Renewable Energy Systems and Energy Efficiency Improvements Program (RDBCP-REAP-RES-EEI-2019),Rural Business-Cooperative Service ,https://www.grants.gov/search-results-detail/310029,10/30/2018,,posted
"Native American Affairs: Emergency Drought Relief for Tribes Inflation Reduction Act of 2022, Section 80004 (R25AS00275)",Bureau of Reclamation,https://www.grants.gov/search-results-detail/359950,07/08/2025,10/14/2025,posted
"U.S. Mission to the United Nations-Geneva, Small Grants Program (GVA-SGP-2023-002)",U.S. Mission to the United Nations,https://www.grants.gov/search-results-detail/344437,11/10/2022,,posted
Public Diplomacy Section Praia: Small Grants Program (AFPRA-25-01),U.S. Mission to Cape Verde,https://www.grants.gov/search-results-detail/359747,08/27/2025,,posted
Make Every Drop Count (PAS-JOR-FY25-005),U.S. Mission to Jordan,https://www.grants.gov/search-results-detail/360245,08/06/2025,09/06/2025,posted
Cooperative Agreement for affiliated Partner with the Great Basin Cooperative Ecosystem Studies Unit (CESU) (G25AS00348),Geological Survey,https://www.grants.gov/search-results-detail/360346,08/22/2025,09/22/2025,posted
MPPEP Phase 3 Invasive Wild-Caught Catfish (RD-RBS-25-03-MPPEP),Rural Business-Cooperative Service ,https://www.grants.gov/search-results-detail/360256,08/07/2025,10/06/2025,posted
FY 2023 Disaster Supplemental (EDA-DISASTER-2023),Economic Development Administration,https://www.grants.gov/search-results-detail/347414,04/24/2023,,posted
FY 2026 International Visitor Leadership Program Collaborative Services (DFOP0017389),Bureau Of Educational and Cultural Affairs,https://www.grants.gov/search-results-detail/359958,07/09/2025,09/08/2025,posted
Medical Scientist Training Program (MSTP) (T32) (PAR-24-128),National Institutes of Health,https://www.grants.gov/search-results-detail/352810,03/04/2024,01/25/2027,posted
Findable Accessible Interoperable Reusable Open Science (25-533),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/358036,01/07/2025,04/08/2026,posted
EONS 2018: Appendix E Minority University Research and Education Project (MUREP) for Sustainability and Innovation Collaborative &ndash; (MUSIC)  (NNH18ZHA002N-MUSIC),National Aeronautics and Space Administration,https://www.grants.gov/search-results-detail/300997,02/22/2018,,posted
Small Grants Program (GVA-SGP-2020-001),U.S. Mission to the United Nations,https://www.grants.gov/search-results-detail/326733,05/05/2020,,posted
Atlanta FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-ATL-TA-ATRO-2021-2006846),Department of Commerce,https://www.grants.gov/search-results-detail/332052,03/15/2021,,posted
Denver FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-DEN-TA-DRO-2021-2006850),Department of Commerce,https://www.grants.gov/search-results-detail/332126,03/15/2021,,posted
Austin FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-AUS-TA-AURO-2021-2006848),Department of Commerce,https://www.grants.gov/search-results-detail/332137,03/15/2021,,posted
Algorithms for Modern Power Systems (22-569),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/337984,02/11/2022,02/09/2026,posted
