Grant Name	Sponsor	Link	Opp ID	Opportunity Number	Open Date	Deadline	Status	Award max	Award min	Match %	Funding Instrument	Categories	Eligibility	Synopsis snippet
Notice of Funding Opportunity (NOFO) SUSI Civic Engagement and Environmental Issues Selection Process (SPAINNOFOSUSI2023)	U.S. Mission to Spain	https://www.grants.gov/search-results-detail/344137	344137	SPAINNOFOSUSI2023	10/21/2022		forecasted							
Community Engagement Evaluation and Data Coordination (CEED) Hub to Advance Data and Practice Transformation for Optimizing Oral Health For All Across the Lifespan (U01, Clinical Trial Not Allowed) (NOT-DE-26-005)	National Institutes of Health	https://www.grants.gov/search-results-detail/359123	359123	NOT-DE-26-005	05/27/2025		forecasted							
National Center on Head Start Early Learning, Health and Family Engagement (HHS-2026-ACF-OHS-HC-0002)	Administration for Children and Families - OHS	https://www.grants.gov/search-results-detail/359836	359836	HHS-2026-ACF-OHS-HC-0002	06/26/2025		forecasted							
Academy for Women Entrepreneurs 2024 (AF-HAR-FY24-01)	U.S. Mission to Zimbabwe	https://www.grants.gov/search-results-detail/350892	350892	AF-HAR-FY24-01	11/07/2023		forecasted							
Advancing Youth Activism and Engagement FY2023 (TIRYOUTHFY23)	U.S. Mission to Albania	https://www.grants.gov/search-results-detail/348303	348303	TIRYOUTHFY23	05/23/2023		forecasted							
NCCIH Natural Product Early Phase Clinical Trial Phased Innovation Award (R61/R33 Clinical Trial Required) (PAR-25-269)	National Institutes of Health	https://www.grants.gov/search-results-detail/357490	357490	PAR-25-269	12/02/2024	11/13/2026	posted							
Tribal Colleges and Universities Program (21-595)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/334326	334326	21-595	06/24/2021	09/02/2025	posted							
Curriculum and University Partnerships (CUP) (2025VE-002A)	U.S. Mission to Venezuela	https://www.grants.gov/search-results-detail/359026	359026	2025VE-002A	05/16/2025		forecasted							
NCCIH Natural Product Early Phase Clinical Trial Award (R33 Clinical Trial Required) (PAR-25-270)	National Institutes of Health	https://www.grants.gov/search-results-detail/357492	357492	PAR-25-270	12/02/2024	11/13/2026	posted							
Community Based Participatory Research To Advance DAta and Practice Transformation (ADAPT) For Optimizing Oral Health For All Across the Lifespan (UG3/UH3 Clinical Trial Optional) (NOT-DE-25-049)	National Institutes of Health	https://www.grants.gov/search-results-detail/358864	358864	NOT-DE-25-049	05/12/2025		forecasted							
Development of Psychosocial Therapeutic and Preventive Interventions for Mental Disorders (R61/R33 Clinical Trial Required) (PAR-25-182)	National Institutes of Health	https://www.grants.gov/search-results-detail/357427	357427	PAR-25-182	11/26/2024	10/15/2027	posted							
Engaging Older Adults Resource Center (HHS-2023-ACL-AOA-EECC-0021)	Administration for Community Living	https://www.grants.gov/search-results-detail/342847	342847	HHS-2023-ACL-AOA-EECC-0021	08/01/2022		forecasted							
Center for Research on Complex Generics (U18) Clinical Trials Optional (FOR-FD-25-004)	Food and Drug Administration	https://www.grants.gov/search-results-detail/356044	356044	FOR-FD-25-004	08/14/2024		forecasted							
2022 Alumni Engagement Innovation Fund-Italy (04)	U.S. Mission to Italy	https://www.grants.gov/search-results-detail/337035	337035	04	12/20/2021		forecasted							
Annual Engagement Innovation Fund Italy (02PDSMISSIONITALY)	U.S. Mission to Italy	https://www.grants.gov/search-results-detail/351555	351555	02PDSMISSIONITALY	12/19/2023		forecasted							
Alumni Engagement Innovation Fund 2024 (2024-01)	U.S. Mission to Latvia	https://www.grants.gov/search-results-detail/350831	350831	2024-01	11/02/2023		forecasted							
Solomon Islands Threshold Program Industry Day (SI-INDUSTRY-DAY)	Millennium Challenge Corporation	https://www.grants.gov/search-results-detail/331415	331415	SI-INDUSTRY-DAY	02/10/2021		forecasted							
Make Every Drop Count (PAS-JOR-FY25-005)	U.S. Mission to Jordan	https://www.grants.gov/search-results-detail/360245	360245	PAS-JOR-FY25-005	08/06/2025	09/06/2025	posted							
Annual Program Statement (APS) (PDS-ATHENS-FY25-01)	U.S. Mission to Greece	https://www.grants.gov/search-results-detail/359266	359266	PDS-ATHENS-FY25-01	06/06/2025		forecasted							
FY 2024 Atlantic Salmon Habitat Restoration Partnership Grants (NOAA-NMFS-HCPO-2024-25198)	DOC NOAA - ERA Production	https://www.grants.gov/search-results-detail/352198	352198	NOAA-NMFS-HCPO-2024-25198	02/05/2024	03/31/2026	posted							
Alumni Engagement Innovation Fund (AEIF) 2021 (S-DR860-21-NOFO-005)	U.S. Mission to the Dominican Republic	https://www.grants.gov/search-results-detail/333638	333638	S-DR860-21-NOFO-005	05/20/2021		forecasted							
First in Human and Early Stage Clinical Trials of Novel Investigational Drugs or Neuromodulatory Device-based Interventions for Psychiatric Disorders (U01 Clinical Trial Required) (PAR-25-180)	National Institutes of Health	https://www.grants.gov/search-results-detail/357424	357424	PAR-25-180	11/26/2024	10/15/2027	posted							
Forecast to Renew the Funding Opportunity Announcement for Multiple Chronic Disease Research Centers Coordinating Center (U24 Clinical Trial Not Required) (FOR-MD-25-005)	National Institutes of Health	https://www.grants.gov/search-results-detail/359140	359140	FOR-MD-25-005	05/27/2025		forecasted							
Gabriella Miller Kids First Training and Outreach Core (U24 Clinical Trials Not Allowed) (NOT-RM-25-036)	National Institutes of Health	https://www.grants.gov/search-results-detail/358960	358960	NOT-RM-25-036	05/14/2025		forecasted							
National Center on Program Management and Quality Assurance (HHS-2026-ACF-OHS-HC-0103)	Administration for Children and Families - OHS	https://www.grants.gov/search-results-detail/359837	359837	HHS-2026-ACF-OHS-HC-0103	06/26/2025		forecasted							
