Grant Name,Sponsor,Link,Opp ID,Opportunity Number,Open Date,Deadline,Status
Assessment and Evaluation of Emerging Health Conditions Relevant to the World Trade Center Health Program (U01) (RFA-OH-26-002),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/356164,356164,RFA-OH-26-002,08/22/2024,,forecasted
Global Health Security Partnership Engagement: Continuing to Expand Efforts and Strategies to Protect and Improve Public Health in Cameroon (CDC-RFA-JG-26-0041),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360329,360329,CDC-RFA-JG-26-0041,08/21/2025,,forecasted
Forecast to Publish a Notice of Funding Opportunity Announcement for Addressing Determinants of Health Disparities Among Rural Populations (R01 - Clinical Trial Optional) (FOR-MD-25-003),National Institutes of Health,https://www.grants.gov/search-results-detail/359138,359138,FOR-MD-25-003,05/27/2025,,forecasted
Mind and Body Interventions to Restore Whole Person Health via Emotional Well-Being Mechanisms (NOT-AT-25-006),National Institutes of Health,https://www.grants.gov/search-results-detail/359155,359155,NOT-AT-25-006,05/28/2025,,forecasted
NLM Information Resource Grants to Reduce Health Disparities and Promote Health for All (G08 Clinical Trial Not Allowed) (PAR-24-281),National Institutes of Health,https://www.grants.gov/search-results-detail/356250,356250,PAR-24-281,08/28/2024,05/25/2026,posted
Leading Edge Acceleration Projects (LEAP) in Health Information Technology (NAP-AX-22-001),Office of the National Coordinator,https://www.grants.gov/search-results-detail/341131,341131,NAP-AX-22-001,06/14/2022,09/30/2027,posted
Health Equity Data Access Program (HEDAP) (CMS-2L2-25-001),Centers for Medicare & Medicaid Services,https://www.grants.gov/search-results-detail/355646,355646,CMS-2L2-25-001,07/25/2024,,forecasted
Public Health Crisis Response Cooperative Agreement (CDC-RFA-TP22-2201),Centers for Disease Control - OPHPR,https://www.grants.gov/search-results-detail/337086,337086,CDC-RFA-TP22-2201,01/13/2022,02/11/2027,posted
Notice of Intent to Publish a Forecast for EmbraceHealth Clinical Research Network to Reduce Health Disparities &ndash; Research Sites (FOR-MD-25-008),National Institutes of Health,https://www.grants.gov/search-results-detail/359865,359865,FOR-MD-25-008,06/27/2025,,forecasted
DHA-  Military Health System Research Program (HT942526MHSRP),Dept. of the Army -- USAMRAA,https://www.grants.gov/search-results-detail/359250,359250,HT942526MHSRP,06/04/2025,10/17/2025,posted
Expanding Efforts and Strategies to Protect and Improve Global Health Security in Kenya (CDC-RFA-JG-26-0055),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360341,360341,CDC-RFA-JG-26-0055,08/22/2025,,forecasted
PEPFAR Community Led Monitoring &ndash; Mozambique Relief Programs (MAPUTO-PCO-FY22-01),U.S. Mission to Mozambique,https://www.grants.gov/search-results-detail/334259,334259,MAPUTO-PCO-FY22-01,06/22/2021,,forecasted
Occupational Safety and Health Education and Research Centers (T42) (RFA-OH-25-002),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/355417,355417,RFA-OH-25-002,10/07/2024,10/26/2028,posted
Advanced Laboratories for Accelerating the Reach and Impact of Treatments for Youth and Adults with Mental Illness (ALACRITY) Research Centers (P50 Clinical Trial Optional) (PAR-24-210),National Institutes of Health,https://www.grants.gov/search-results-detail/348813,348813,PAR-24-210,06/20/2023,05/18/2026,posted
Notice of Intent to Publish a Funding Opportunity Announcement for Advancing Research on the Application of Digital Health Technology to the Management of Type 2 Diabetes (NOT-DK-26-315),National Institutes of Health,https://www.grants.gov/search-results-detail/359252,359252,NOT-DK-26-315,06/05/2025,,forecasted
Assessing the Feasibility of Incorporating Mechanisms in Multisite Clinical Trials of Mind and Body Interventions on Whole Person Health Restoration (R01 Clinical Trial Required) (FOR-AT-25-007),National Institutes of Health,https://www.grants.gov/search-results-detail/359941,359941,FOR-AT-25-007,07/08/2025,,forecasted
HEAL Initiative: Integrative Management of Chronic Pain and Opioid Use Disorder (OUD) for Whole Recovery: Health Systems (FOR-DA-27-001),National Institutes of Health,https://www.grants.gov/search-results-detail/360048,360048,FOR-DA-27-001,07/17/2025,,forecasted
Support Ethiopia's Capacity to Meet International Health Regulations Requirements (CDC-RFA-JG-26-0046),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360333,360333,CDC-RFA-JG-26-0046,08/22/2025,,forecasted
"Building and Strengthening Public Health Systems, Impact, and Capacity in Indonesia through Partner Collaboration (CDC-RFA-JG-26-0053)",Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360338,360338,CDC-RFA-JG-26-0053,08/22/2025,,forecasted
"Enhancing Capacity &amp; Accelerating Sustainability of Public Health Systems in India to Prevent, Detect and Respond to Infectious Disease Outbreaks and Other Public Health Emergencies (CDC-RFA-JG-26-0051)",Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360336,360336,CDC-RFA-JG-26-0051,08/22/2025,,forecasted
Continuing to Enhance Global Health Security: Sustain Efforts and Strategies to Protect and Improve Public Health Globally (CDC-RFA-JG-26-0056),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360342,360342,CDC-RFA-JG-26-0056,08/22/2025,,forecasted
Making America Healthy Again by Addressing Dementia Disparities (MP-CPI-25-001),Office of the Assistant Secretary for Health,https://www.grants.gov/search-results-detail/355824,355824,MP-CPI-25-001,08/01/2024,,forecasted
Coordinating Center for Language Access Services (MP-CPI-25-003),Office of the Assistant Secretary for Health,https://www.grants.gov/search-results-detail/355829,355829,MP-CPI-25-003,08/01/2024,,forecasted
Notice of Intent to Publish a Funding Opportunity Announcement for NIEHS Worker Training Program&rsquo;s Hazardous Materials Worker Health and Safety Training (U45 &ndash; Clinical Trials Not Allowed) (TEMP-31337),National Institutes of Health,https://www.grants.gov/search-results-detail/359158,359158,TEMP-31337,05/28/2025,,forecasted
Research Enhancement Award Program (REAP) for Health Professional Schools and Graduate Schools (FOR-PAR-25-420),National Institutes of Health,https://www.grants.gov/search-results-detail/359733,359733,FOR-PAR-25-420,06/16/2025,,forecasted
Forecast to Publish a Funding Opportunity Announcement for EmbraceHealth Clinical Research Network to Reduce Health Disparities &ndash; Coordinating Center (FOR-MD-25-009),National Institutes of Health,https://www.grants.gov/search-results-detail/359864,359864,FOR-MD-25-009,06/27/2025,,forecasted
Promoting Access with a Language Services Assistance Symbol (MP-CPI-25-004),Office of the Assistant Secretary for Health,https://www.grants.gov/search-results-detail/355830,355830,MP-CPI-25-004,08/01/2024,,forecasted
Forecast to Publish a Funding Opportunity Announcement for Research Centers in Minority Institutions (RCMI) (U54 - Clinical Trial Optional) (FOR-MD-25-004),National Institutes of Health,https://www.grants.gov/search-results-detail/359665,359665,FOR-MD-25-004,06/10/2025,,forecasted
NIEHS Worker Training Program&rsquo;s SBIR E-Learning for HAZMAT and Emergency Response (R43/R44 Clinical Trial Not Allowed) (TEMP-30794),National Institutes of Health,https://www.grants.gov/search-results-detail/358912,358912,TEMP-30794,05/21/2025,,forecasted
NIEHS Worker Training Program&rsquo;s HAZMAT Training at DOE Nuclear Weapons Complex (UH4 Clinical Trial Not Allowed) (TEMP-31334),National Institutes of Health,https://www.grants.gov/search-results-detail/359970,359970,TEMP-31334,07/17/2025,,forecasted
Dental Preventive Clinical Support (HHS-2026-IHS-TDCP-0001),Indian Health Service,https://www.grants.gov/search-results-detail/360297,360297,HHS-2026-IHS-TDCP-0001,08/14/2025,,forecasted
