Grant Name,Sponsor,Link,Open Date,Deadline,Status
Rural Housing Preservation Grant,Rural Housing Service,https://www.grants.gov/search-results-detail/359959,08/05/2025,09/04/2025,posted
The Primary Prevention Youth Homelessness Demonstration Program,Administration for Children & Families - ACYF/FYSB,https://www.grants.gov/search-results-detail/356037,08/14/2024,,forecasted
Announcement of Stand Down Grants,Veterans Employment and Training Service,https://www.grants.gov/search-results-detail/345327,01/10/2023,09/30/2025,posted
Notice of Intent to Publish a Request for Concept Notes Announcement on Capacity Development for the Reception &amp; Placement Program,Bureau of Population Refugees and Migration,https://www.grants.gov/search-results-detail/339686,04/21/2022,,forecasted
Development of Collaborative Research Facilities or Research-Resource Facilities (C06 Clinical Trial Not Allowed),National Institutes of Health,https://www.grants.gov/search-results-detail/359701,06/17/2025,,forecasted
Rural Community Development Initiative (RCDI),Rural Housing Service,https://www.grants.gov/search-results-detail/359934,07/08/2025,,posted
Accelerating Solutions to Improve Access and Quality of Empirically-Supported Practices for Youth Mental Health (R01 Clinical Trial Optional),National Institutes of Health,https://www.grants.gov/search-results-detail/357524,12/03/2024,01/07/2027,posted
Promoting Resources and Opportunities for People with Autism and Fragile X and their Families Across the Lifespan,Centers for Disease Control - NCBDDD,https://www.grants.gov/search-results-detail/360357,08/25/2025,,forecasted
CY25 Annual SCMF/CHSP Renewal,Department of Housing and Urban Development,https://www.grants.gov/search-results-detail/360383,08/28/2025,09/01/2025,posted
Jobs Plus NOFO for Fiscal Year 2025,Department of Housing and Urban Development,https://www.grants.gov/search-results-detail/360278,08/12/2025,10/27/2025,posted
Application Instructions for the Indian Community Development Block Grant (ICDBG) Imminent Threat (IT) Program,Department of Housing and Urban Development,https://www.grants.gov/search-results-detail/358716,04/18/2025,09/30/2025,posted
Service Area Competition,Health Resources and Services Administration,https://www.grants.gov/search-results-detail/360116,07/22/2025,09/22/2025,posted
Service Area Competition,Health Resources and Services Administration,https://www.grants.gov/search-results-detail/360139,07/24/2025,11/10/2025,posted
Service Area Competition,Health Resources and Services Administration,https://www.grants.gov/search-results-detail/360138,07/24/2025,10/10/2025,posted
Service Area Competition,Health Resources and Services Administration,https://www.grants.gov/search-results-detail/360137,07/24/2025,09/29/2025,posted
Calendar Year 2022 Disaster Water Grants,Rural Utilities Service,https://www.grants.gov/search-results-detail/348809,06/22/2023,,posted
University Nuclear Leadership Program&ndash; Scholarship and Fellowship Support,Idaho Field Office,https://www.grants.gov/search-results-detail/329436,10/15/2020,10/14/2030,posted
Leveling the Field for American Workers in U.S.-Mexico Trade,Bureau of International Labor Affairs,https://www.grants.gov/search-results-detail/360092,08/27/2025,09/26/2025,posted
Securing Fair and Reliable Critical Mineral Supply Chains,Bureau of International Labor Affairs,https://www.grants.gov/search-results-detail/360111,08/27/2025,09/26/2025,posted
Revitalizing Domestic Manufacturing by Developing the Next Generation of America&rsquo;s Shipbuilders through International Partnerships,Bureau of International Labor Affairs,https://www.grants.gov/search-results-detail/360093,08/27/2025,09/26/2025,posted
F25AS00188 Coastal Program FY25,Fish and Wildlife Service,https://www.grants.gov/search-results-detail/358382,01/23/2025,09/30/2025,posted
F25AS00165 Partners for Fish and Wildlife FY25,Fish and Wildlife Service,https://www.grants.gov/search-results-detail/358381,01/23/2025,09/30/2025,posted
FY25 VIETNAM WARTIME ACCOUNTING INITIATIVE COOPERATIVE AGREEMENTS,Washington Headquarters Services,https://www.grants.gov/search-results-detail/360390,08/28/2025,09/28/2025,posted
Commercial Fishing Occupational Safety Training Project Grants (T03),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/334972,07/11/2022,01/31/2028,posted
Legacy Resource Management Program,Washington Headquarters Services,https://www.grants.gov/search-results-detail/348830,06/21/2023,06/20/2026,posted
Health Home for Individuals with Chronic Conditions,Centers for Medicare & Medicaid Services,https://www.grants.gov/search-results-detail/343827,09/30/2022,10/01/2025,posted
Defense Security Cooperation University - Research Grants,Washington Headquarters Services,https://www.grants.gov/search-results-detail/349804,08/08/2023,08/07/2028,posted
Health Home for Children with Medically Complex Conditions,Centers for Medicare & Medicaid Services,https://www.grants.gov/search-results-detail/343826,09/30/2022,10/01/2025,posted
"Bilateral Academic Research Initiative (BARI) Program &ndash; Ministry of Trade, Industry and Energy (MOTIE)",Washington Headquarters Services,https://www.grants.gov/search-results-detail/358555,03/13/2025,08/29/2025,posted
State Loan Repayment Program (State LRP),Health Resources and Services Administration,https://www.grants.gov/search-results-detail/355777,07/24/2025,01/12/2026,posted
Rural and Tribal Assistance (RTA) Pilot Program,69A345 Office of the Under Secretary for Policy,https://www.grants.gov/search-results-detail/360227,08/07/2025,,forecasted
FY2025 NAGPRA Repatriation Grants,National Park Service,https://www.grants.gov/search-results-detail/357994,01/03/2025,05/08/2026,posted
Industry-Driven Skills Training Fund Grant Program,Employment and Training Administration,https://www.grants.gov/search-results-detail/360260,08/07/2025,09/05/2025,posted
EDA FY25 Disaster Supplemental,Economic Development Administration,https://www.grants.gov/search-results-detail/359225,06/04/2025,,posted
F25AS00228 Candidate Species Conservation Fund,Fish and Wildlife Service,https://www.grants.gov/search-results-detail/358355,01/21/2025,09/30/2025,posted
FY 2023 EDA Public Works and Economic Adjustment Assistance Programs,Economic Development Administration,https://www.grants.gov/search-results-detail/346815,03/14/2023,,posted
Commercial Fishing Occupational Safety Research Cooperative Agreement (U01),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/334971,07/08/2022,01/31/2028,posted
Embassy Belgrade PAS - University Partnership,U.S. Mission to Serbia,https://www.grants.gov/search-results-detail/327658,06/12/2020,,forecasted
WATER RESOURCES RESEARCH ACT PROGRAM NATIONAL COMPETITIVE GRANTS FY2025 (104g General),Geological Survey,https://www.grants.gov/search-results-detail/360311,08/15/2025,09/30/2025,posted
FY 2023 Disaster Supplemental,Economic Development Administration,https://www.grants.gov/search-results-detail/347414,04/24/2023,,posted
FY2025 ABPP - Battlefield Interpretation Grant,National Park Service,https://www.grants.gov/search-results-detail/360361,08/27/2025,11/25/2025,posted
MINE HEALTH AND SAFETY STATE GRANTS,Mine Safety and Health Administration,https://www.grants.gov/search-results-detail/360276,08/11/2025,09/09/2025,posted
State Veterans Home Construction Grant Program,Construction of State Home Facilities,https://www.grants.gov/search-results-detail/58617,11/01/2010,,posted
Residential (Long Term Foster Care) Services for Unaccompanied Children,Administration for Children and Families - ORR,https://www.grants.gov/search-results-detail/340671,05/25/2022,,forecasted
Rare Diseases Clinical Research Consortia (RDCRC) for the Rare Diseases Clinical Research Network (RDCRN) (U54 Clinical Trial Optional),National Institutes of Health,https://www.grants.gov/search-results-detail/358818,06/05/2025,10/16/2025,posted
2022 Alumni Engagement Innovation Fund (AEIF 2022),U.S. Mission to North Macedonia,https://www.grants.gov/search-results-detail/337347,04/04/2022,,forecasted
Disaster Assistance for State Units on Aging (SUAs) and Tribal Organizations in Major Disasters Declared by the President,Administration for Community Living,https://www.grants.gov/search-results-detail/355884,10/10/2024,09/02/2025,posted
National Center for Construction Safety and Health Research and Translation (U54),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/345738,09/13/2023,12/01/2026,posted
Updated National Dislocated Worker Grant Program Guidance and Application Information,Employment and Training Administration,https://www.grants.gov/search-results-detail/357771,12/17/2024,12/31/2026,posted
Notice of Intent:  Program to End Modern Slavery FY 2025,Office to Monitor-Combat Trafficking in Persons,https://www.grants.gov/search-results-detail/358289,01/16/2025,01/01/2099,posted
Leading Edge Acceleration Projects (LEAP) in Health Information Technology,Office of the National Coordinator,https://www.grants.gov/search-results-detail/341131,06/14/2022,09/30/2027,posted
Long Range Broad Agency Announcement (BAA) for NSWC Crane,NSWC CRANE - N00164,https://www.grants.gov/search-results-detail/352238,02/08/2024,,posted
Port Infrastructure Development Program,Maritime Administration,https://www.grants.gov/search-results-detail/358404,01/31/2025,09/10/2025,posted
FY26 BROWNFIELDS JOB TRAINING (JT) GRANTS,Environmental Protection Agency,https://www.grants.gov/search-results-detail/358898,07/21/2025,09/26/2025,posted
FY25 Long Range Broad Agency Announcement (BAA) for Navy and Marine Corps Science and Technology,Office of Naval Research,https://www.grants.gov/search-results-detail/356605,10/01/2024,09/30/2025,posted
NSWC Dahlgren BAA N00178-25-0002,NSWC Dahlgren,https://www.grants.gov/search-results-detail/356715,10/15/2024,10/14/2025,posted
"Pioneering Aerospace Capabilities, Engineering and Research (PACER)",Air Force -- Research Lab,https://www.grants.gov/search-results-detail/349554,07/26/2023,05/10/2043,posted
Defense Production Act Title III Expansion of Domestic Production Capability and Capacity,Air Force -- Research Lab,https://www.grants.gov/search-results-detail/318351,07/12/2019,07/12/2026,posted
"Residential (Group Home, Shelter, Transitional Foster Care) Services for Unaccompanied Alien Children",Administration for Children and Families - ORR,https://www.grants.gov/search-results-detail/357220,08/15/2025,10/14/2025,posted
Research and Development (RAD) Directed Energy (RD) University Assistance Instruments,Air Force -- Research Lab,https://www.grants.gov/search-results-detail/355499,07/18/2024,07/18/2029,posted
