Name,Sponsor,Source URL,Deadline / Next Cohort,Cadence,Benefits,Eligibility (key conditions),Region / Eligibility,Stage,Type,Non-dilutive?,Stack Required?,Relevance,Fit,Ease,Weighted Score,Notes / Actions
Rural Housing Preservation Grant,Rural Housing Service,https://www.grants.gov/search-results-detail/359959,09/04/2025,,,,,,,Yes,No,0,0,0,0,
The Primary Prevention Youth Homelessness Demonstration Program,Administration for Children & Families - ACYF/FYSB,https://www.grants.gov/search-results-detail/356037,,Forecasted,,,,,,Yes,No,0,0,0,0,
Announcement of Stand Down Grants,Veterans Employment and Training Service,https://www.grants.gov/search-results-detail/345327,09/30/2025,,,,,,,Yes,No,0,0,0,0,
Notice of Intent to Publish a Request for Concept Notes Announcement on Capacity Development for the Reception &amp; Placement Program,Bureau of Population Refugees and Migration,https://www.grants.gov/search-results-detail/339686,,Forecasted,,,,,,Yes,No,0,0,0,0,
Development of Collaborative Research Facilities or Research-Resource Facilities (C06 Clinical Trial Not Allowed),National Institutes of Health,https://www.grants.gov/search-results-detail/359701,,Forecasted,,,,,,Yes,No,0,0,0,0,
Rural Community Development Initiative (RCDI),Rural Housing Service,https://www.grants.gov/search-results-detail/359934,,,,,,,,Yes,No,0,0,0,0,
Accelerating Solutions to Improve Access and Quality of Empirically-Supported Practices for Youth Mental Health (R01 Clinical Trial Optional),National Institutes of Health,https://www.grants.gov/search-results-detail/357524,01/07/2027,,,,,,,Yes,No,0,0,0,0,
Promoting Resources and Opportunities for People with Autism and Fragile X and their Families Across the Lifespan,Centers for Disease Control - NCBDDD,https://www.grants.gov/search-results-detail/360357,,Forecasted,,,,,,Yes,No,0,0,0,0,
CY25 Annual SCMF/CHSP Renewal,Department of Housing and Urban Development,https://www.grants.gov/search-results-detail/360383,09/01/2025,,,,,,,Yes,No,0,0,0,0,
Jobs Plus NOFO for Fiscal Year 2025,Department of Housing and Urban Development,https://www.grants.gov/search-results-detail/360278,10/27/2025,,,,,,,Yes,No,0,0,0,0,
Application Instructions for the Indian Community Development Block Grant (ICDBG) Imminent Threat (IT) Program,Department of Housing and Urban Development,https://www.grants.gov/search-results-detail/358716,09/30/2025,,,,,,,Yes,No,0,0,0,0,
Service Area Competition,Health Resources and Services Administration,https://www.grants.gov/search-results-detail/360116,09/22/2025,,,,,,,Yes,No,0,0,0,0,
Service Area Competition,Health Resources and Services Administration,https://www.grants.gov/search-results-detail/360139,11/10/2025,,,,,,,Yes,No,0,0,0,0,
Service Area Competition,Health Resources and Services Administration,https://www.grants.gov/search-results-detail/360138,10/10/2025,,,,,,,Yes,No,0,0,0,0,
Service Area Competition,Health Resources and Services Administration,https://www.grants.gov/search-results-detail/360137,09/29/2025,,,,,,,Yes,No,0,0,0,0,
Calendar Year 2022 Disaster Water Grants,Rural Utilities Service,https://www.grants.gov/search-results-detail/348809,,,,,,,,Yes,No,0,0,0,0,
University Nuclear Leadership Program&ndash; Scholarship and Fellowship Support,Idaho Field Office,https://www.grants.gov/search-results-detail/329436,10/14/2030,,,,,,,Yes,No,0,0,0,0,
Leveling the Field for American Workers in U.S.-Mexico Trade,Bureau of International Labor Affairs,https://www.grants.gov/search-results-detail/360092,09/26/2025,,,,,,,Yes,No,0,0,0,0,
Securing Fair and Reliable Critical Mineral Supply Chains,Bureau of International Labor Affairs,https://www.grants.gov/search-results-detail/360111,09/26/2025,,,,,,,Yes,No,0,0,0,0,
Revitalizing Domestic Manufacturing by Developing the Next Generation of America&rsquo;s Shipbuilders through International Partnerships,Bureau of International Labor Affairs,https://www.grants.gov/search-results-detail/360093,09/26/2025,,,,,,,Yes,No,0,0,0,0,
F25AS00188 Coastal Program FY25,Fish and Wildlife Service,https://www.grants.gov/search-results-detail/358382,09/30/2025,,,,,,,Yes,No,0,0,0,0,
F25AS00165 Partners for Fish and Wildlife FY25,Fish and Wildlife Service,https://www.grants.gov/search-results-detail/358381,09/30/2025,,,,,,,Yes,No,0,0,0,0,
FY25 VIETNAM WARTIME ACCOUNTING INITIATIVE COOPERATIVE AGREEMENTS,Washington Headquarters Services,https://www.grants.gov/search-results-detail/360390,09/28/2025,,,,,,,Yes,No,0,0,0,0,
Commercial Fishing Occupational Safety Training Project Grants (T03),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/334972,01/31/2028,,,,,,,Yes,No,0,0,0,0,
Legacy Resource Management Program,Washington Headquarters Services,https://www.grants.gov/search-results-detail/348830,06/20/2026,,,,,,,Yes,No,0,0,0,0,
Health Home for Individuals with Chronic Conditions,Centers for Medicare & Medicaid Services,https://www.grants.gov/search-results-detail/343827,10/01/2025,,,,,,,Yes,No,0,0,0,0,
Defense Security Cooperation University - Research Grants,Washington Headquarters Services,https://www.grants.gov/search-results-detail/349804,08/07/2028,,,,,,,Yes,No,0,0,0,0,
Health Home for Children with Medically Complex Conditions,Centers for Medicare & Medicaid Services,https://www.grants.gov/search-results-detail/343826,10/01/2025,,,,,,,Yes,No,0,0,0,0,
"Bilateral Academic Research Initiative (BARI) Program &ndash; Ministry of Trade, Industry and Energy (MOTIE)",Washington Headquarters Services,https://www.grants.gov/search-results-detail/358555,08/29/2025,,,,,,,Yes,No,0,0,0,0,
State Loan Repayment Program (State LRP),Health Resources and Services Administration,https://www.grants.gov/search-results-detail/355777,01/12/2026,,,,,,,Yes,No,0,0,0,0,
Rural and Tribal Assistance (RTA) Pilot Program,69A345 Office of the Under Secretary for Policy,https://www.grants.gov/search-results-detail/360227,,Forecasted,,,,,,Yes,No,0,0,0,0,
FY2025 NAGPRA Repatriation Grants,National Park Service,https://www.grants.gov/search-results-detail/357994,05/08/2026,,,,,,,Yes,No,0,0,0,0,
Industry-Driven Skills Training Fund Grant Program,Employment and Training Administration,https://www.grants.gov/search-results-detail/360260,09/05/2025,,,,,,,Yes,No,0,0,0,0,
