Grant Name,Sponsor,Link,Opp ID,Opportunity Number,Open Date,Deadline,Status
FY2025 ABPP - Battlefield Interpretation Grant (P25AS00477),National Park Service,https://www.grants.gov/search-results-detail/360361,360361,P25AS00477,08/27/2025,11/25/2025,posted
Research Interests of the United States Air Force Academy (formerly USAFA-BAA-2021) (FA7000-21-S-0001),Air Force Academy,https://www.grants.gov/search-results-detail/330175,330175,FA7000-21-S-0001,12/02/2020,,posted
"Communications, Circuits, and Sensing-Systems (PD-18-7564)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/346204,346204,PD-18-7564,02/17/2023,,posted
Louis Stokes Alliances for Minority Participation (24-563),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/359104,359104,24-563,05/23/2025,11/21/2025,posted
"Energy, Power, Control, and Networks (PD-18-7607)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/348258,348258,PD-18-7607,05/19/2023,,posted
USDA/USDOI Joint Fire Science Program (JFSP) (L20AS00080),Bureau of Land Management,https://www.grants.gov/search-results-detail/325472,325472,L20AS00080,03/16/2020,,forecasted
Understanding the Intersection of Forced Scamming and Child Labor in Southeast Asia (RFI-ILAB-24-01),Bureau of International Labor Affairs,https://www.grants.gov/search-results-detail/357126,357126,RFI-ILAB-24-01,11/14/2024,,forecasted
Improving Undergraduate STEM Education: Directorate for STEM Education (23-510),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/344124,344124,23-510,10/20/2022,01/21/2026,posted
RFI - DOE R (DE-SOL-0008246),Idaho Field Office,https://www.grants.gov/search-results-detail/280932,280932,DE-SOL-0008246,01/14/2016,,posted
Microsystems Technology Office (MTO) Office-wide (HR001124S0028),DARPA - Microsystems Technology Office ,https://www.grants.gov/search-results-detail/354134,354134,HR001124S0028,05/09/2024,10/09/2025,posted
Industry-Driven Skills Training Fund Grant Program (ETA-TEGL-02-25),Employment and Training Administration,https://www.grants.gov/search-results-detail/360260,360260,ETA-TEGL-02-25,08/07/2025,09/05/2025,posted
TECHGATE (DFOP0017381),Bureau of Cyberspace and Digital Policy,https://www.grants.gov/search-results-detail/360408,360408,DFOP0017381,08/29/2025,09/02/2025,posted
U.S.-Qatar Partnership Initiative: Celebrating America 250 and Beyond (OFOP0002219),U.S. Mission to Qatar,https://www.grants.gov/search-results-detail/360186,360186,OFOP0002219,07/31/2025,08/30/2025,posted
Magnetic Acceleration Generating New Innovations and Tactical Outcomes (MAGNITO) (DE-FOA-0003590),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360355,360355,DE-FOA-0003590,08/25/2025,09/24/2025,posted
MAGNETIC ACCELERATION GENERATING NEW INNOVATIONS AND TACTICAL OUTCOMES SBIR/STTR (MAGNITO SBIR/STTR) (DE-FOA-0003591),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360356,360356,DE-FOA-0003591,08/25/2025,09/24/2025,posted
Bipartisan Infrastructure Law - Carbon Dioxide Transportation Infrastructure Finance and Innovation (CIFIA) Program: Future Growth Grants (Section 40304) (DE-FOA-0002966),National Energy Technology Laboratory,https://www.grants.gov/search-results-detail/353946,353946,DE-FOA-0002966,05/02/2024,01/02/2026,posted
Reliable Ore Characterization with Keystone Sensing SBIR/STTR (ROCKS SBIR/STTR) (DE-FOA-0003593),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360354,360354,DE-FOA-0003593,08/25/2025,09/25/2025,posted
Reliable Ore Characterization with Keystone Sensing (ROCKS) (DE-FOA-0003592),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360353,360353,DE-FOA-0003592,08/25/2025,09/25/2025,posted
EDA FY25 Disaster Supplemental (EDA-DISASTER-2025),Economic Development Administration,https://www.grants.gov/search-results-detail/359225,359225,EDA-DISASTER-2025,06/04/2025,,posted
Partnerships with MCC Program (95332419N0001),Millennium Challenge Corporation,https://www.grants.gov/search-results-detail/314279,314279,95332419N0001,03/26/2019,03/31/2027,posted
"DoD Breast Cancer, Clinical Research Extension Award (HT942525BCRPCREA2)",Dept. of the Army -- USAMRAA,https://www.grants.gov/search-results-detail/359720,359720,HT942525BCRPCREA2,06/16/2025,09/10/2025,posted
"DoD Breast Cancer, Breakthrough Award Levels 1 and 2 (HT942525BCRPBTA122)",Dept. of the Army -- USAMRAA,https://www.grants.gov/search-results-detail/359721,359721,HT942525BCRPBTA122,06/16/2025,09/10/2025,posted
DoD Breast Cancer Breakthrough Award Level 3 (HT942525BCRPBTA3),Dept. of the Army -- USAMRAA,https://www.grants.gov/search-results-detail/358731,358731,HT942525BCRPBTA3,04/22/2025,09/10/2025,posted
"UNITED STATES ARMY RESEARCH INSTITUTE FOR THE BEHAVIORAL AND SOCIAL SCIENCES (ARI) BROAD AGENCY ANNOUNCEMENT FOR BASIC, APPLIED, AND ADVANCED SCIENTIFIC RESEARCH (W911NF-23-S-0010)",Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/347858,347858,W911NF-23-S-0010,05/01/2023,04/30/2028,posted
Solomon Islands Threshold Program Industry Day (SI-INDUSTRY-DAY),Millennium Challenge Corporation,https://www.grants.gov/search-results-detail/331415,331415,SI-INDUSTRY-DAY,02/10/2021,,forecasted
FY 2025 Continuation of Solicitation for the Office of Science Financial Assistance Program (DE-FOA-0003432),Office of Science,https://www.grants.gov/search-results-detail/356590,356590,DE-FOA-0003432,09/30/2024,09/30/2025,posted
DEVCOM ARMY RESEARCH LABORATORY BROAD AGENCY ANNOUNCEMENT FOR FOUNDATIONAL RESEARCH (W911NF-23-S-0001),Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/344592,344592,W911NF-23-S-0001,11/21/2022,11/20/2027,posted
Somalia Operational Mentorship and Sustainment Capacity Building (DFOP0017536),Bureau of Political-Military Affairs - WRA,https://www.grants.gov/search-results-detail/360248,360248,DFOP0017536,08/06/2025,09/03/2025,posted
SEEDING CRITICAL ADVANCES FOR LEADING ENERGY TECHNOLOGIES WITH UNTAPPED POTENTIAL (SCALEUP) READY (DE-FOA-0003467),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/356623,356623,DE-FOA-0003467,10/02/2024,09/29/2029,posted
National Center for Construction Safety and Health Research and Translation (U54) (RFA-OH-24-001),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/345738,345738,RFA-OH-24-001,09/13/2023,12/01/2026,posted
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI) Department of Defense Army (W911NF25S0004),Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/358532,358532,W911NF25S0004,03/05/2025,09/05/2025,posted
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI) (N0001425SF002),Office of Naval Research,https://www.grants.gov/search-results-detail/358592,358592,N0001425SF002,03/25/2025,09/05/2025,posted
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI) (N001425SF002),Office of Naval Research,https://www.grants.gov/search-results-detail/358585,358585,N001425SF002,03/21/2025,09/05/2025,posted
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI) (NOFOAFRLAFOSR20250002),Air Force Office of Scientific Research,https://www.grants.gov/search-results-detail/358533,358533,NOFOAFRLAFOSR20250002,03/05/2025,09/05/2025,posted
