Grant Name,Sponsor,Link,Opp ID,Opportunity Number,Open Date,Deadline,Status
Alumni Engagement Innovation Fund 2024 (2024-01),U.S. Mission to Latvia,https://www.grants.gov/search-results-detail/350831,350831,2024-01,11/02/2023,,forecasted
SEEDING CRITICAL ADVANCES FOR LEADING ENERGY TECHNOLOGIES WITH UNTAPPED POTENTIAL (SCALEUP) READY (DE-FOA-0003467),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/356623,356623,DE-FOA-0003467,10/02/2024,09/29/2029,posted
Cooperative Agreement for affiliated Partner with the Great Lakes-Northern Forest Cooperative Ecosystem Studies Unit (CESU) (G25AS00346),Geological Survey,https://www.grants.gov/search-results-detail/360349,360349,G25AS00346,08/22/2025,09/22/2025,posted
Magnetic Acceleration Generating New Innovations and Tactical Outcomes (MAGNITO) (DE-FOA-0003590),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360355,360355,DE-FOA-0003590,08/25/2025,09/24/2025,posted
Reliable Ore Characterization with Keystone Sensing SBIR/STTR (ROCKS SBIR/STTR) (DE-FOA-0003593),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360354,360354,DE-FOA-0003593,08/25/2025,09/25/2025,posted
Reliable Ore Characterization with Keystone Sensing (ROCKS) (DE-FOA-0003592),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360353,360353,DE-FOA-0003592,08/25/2025,09/25/2025,posted
Ocean Drilling Program (PD-14-5720),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/254073,254073,PD-14-5720,04/18/2014,,posted
Media Training &amp; Development (MT&amp;D)  Small Grants Program (FY-2021VE002),U.S. Mission to Venezuela,https://www.grants.gov/search-results-detail/333291,333291,FY-2021VE002,05/04/2021,,forecasted
Shared Instrumentation Grant (SIG) Program (S10 Clinical Trial Not Allowed) (PAR-24-265),National Institutes of Health,https://www.grants.gov/search-results-detail/356886,356886,PAR-24-265,10/29/2024,06/01/2027,posted
Catalysis (PD-23-1401),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/348932,348932,PD-23-1401,06/27/2023,,posted
Biophotonics (PD-23-7236),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/347327,347327,PD-23-7236,04/05/2023,,posted
High-End Instrumentation (HEI) Grant Program (S10 Clinical Trial Not Allowed) (PAR-24-264),National Institutes of Health,https://www.grants.gov/search-results-detail/356883,356883,PAR-24-264,10/29/2024,06/01/2027,posted
Co-infection and Cancer (R21 Clinical Trial Not Allowed) (PAR-25-083),National Institutes of Health,https://www.grants.gov/search-results-detail/357271,357271,PAR-25-083,11/21/2024,01/07/2026,posted
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI) Department of Defense Army (W911NF25S0004),Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/358532,358532,W911NF25S0004,03/05/2025,09/05/2025,posted
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI) (N0001425SF002),Office of Naval Research,https://www.grants.gov/search-results-detail/358592,358592,N0001425SF002,03/25/2025,09/05/2025,posted
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI) (N001425SF002),Office of Naval Research,https://www.grants.gov/search-results-detail/358585,358585,N001425SF002,03/21/2025,09/05/2025,posted
Fiscal Year (FY) 2026 Department of Defense Multidisciplinary Research Program of the University Research Initiative (MURI) (NOFOAFRLAFOSR20250002),Air Force Office of Scientific Research,https://www.grants.gov/search-results-detail/358533,358533,NOFOAFRLAFOSR20250002,03/05/2025,09/05/2025,posted
"Sustainable Range Study Richardson Training Area, Fort Wainwright and Donnelly Training Area, Alaska (SOW 25-101) (W911KB-25-2-0010)",Alaska District,https://www.grants.gov/search-results-detail/359983,359983,W911KB-25-2-0010,07/10/2025,09/08/2025,posted
Fundamental Research to Counter Weapons of Mass Destruction (HDTRA1-25-S-0001),Defense Threat Reduction Agency,https://www.grants.gov/search-results-detail/356612,356612,HDTRA1-25-S-0001,10/01/2024,09/30/2034,posted
DEVCOM ARMY RESEARCH LABORATORY BROAD AGENCY ANNOUNCEMENT FOR FOUNDATIONAL RESEARCH (W911NF-23-S-0001),Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/344592,344592,W911NF-23-S-0001,11/21/2022,11/20/2027,posted
Defense Sciences Office (DSO) Office-wide BAA (HR001125S0013),DARPA - Defense Sciences Office,https://www.grants.gov/search-results-detail/359239,359239,HR001125S0013,06/03/2025,06/02/2026,posted
Research Interests of the Air Force Office of Scientific Research (FA955025S0001),Air Force Office of Scientific Research,https://www.grants.gov/search-results-detail/359050,359050,FA955025S0001,05/20/2025,,posted
RFI - DOE R (DE-SOL-0008246),Idaho Field Office,https://www.grants.gov/search-results-detail/280932,280932,DE-SOL-0008246,01/14/2016,,posted
FY 2025 Continuation of Solicitation for the Office of Science Financial Assistance Program (DE-FOA-0003432),Office of Science,https://www.grants.gov/search-results-detail/356590,356590,DE-FOA-0003432,09/30/2024,09/30/2025,posted
FY2025 Golden Mussel Prevention and Control in the Western United States (F25AS00320),Fish and Wildlife Service,https://www.grants.gov/search-results-detail/360252,360252,F25AS00320,08/06/2025,10/06/2025,posted
Microsystems Technology Office (MTO) Office-wide (HR001124S0028),DARPA - Microsystems Technology Office ,https://www.grants.gov/search-results-detail/354134,354134,HR001124S0028,05/09/2024,10/09/2025,posted
Innovative Finance and Asset Concession (IFAC) Grant Program (DOT-OST-2025-0033),69A345 Office of the Under Secretary for Policy,https://www.grants.gov/search-results-detail/360279,360279,DOT-OST-2025-0033,08/13/2025,10/01/2025,posted
