Grant Name,Sponsor,Link,Open Date,Deadline,Status
Annual Program Statement (APS) for Fiscal Year 2025 (PAS-TUNIS-FY2025),U.S. Mission to Tunisia,https://www.grants.gov/search-results-detail/359120,06/02/2025,,forecasted
U.S. Ambassadors Fund for Cultural Preservation (AFCP) 2021 Small Grant Competition (PAS-JAKARTA-FY20-04),U.S. Mission to Indonesia,https://www.grants.gov/search-results-detail/327284,05/22/2020,,forecasted
AFCP 2020 Small Grants Competition (AFCPLG20),U.S. Mission to Egypt,https://www.grants.gov/search-results-detail/322815,12/02/2019,,forecasted
Assessing the Feasibility of Incorporating Mechanisms in Multisite Clinical Trials of Mind and Body Interventions on Whole Person Health Restoration (R01 Clinical Trial Required) (FOR-AT-25-007),National Institutes of Health,https://www.grants.gov/search-results-detail/359941,07/08/2025,,forecasted
AFCP 2020 Small Grants Competition (AFCP20),U.S. Mission to Egypt,https://www.grants.gov/search-results-detail/322814,12/02/2019,,forecasted
250 years of American Independence (DOS-MANAMA-PD-2025-005),U.S. Mission to Bahrain,https://www.grants.gov/search-results-detail/360098,08/03/2025,01/05/2026,posted
Statement of Interest (SOI) Annual Program Statement (PAS-TOKYO-FY25-SOI-02),U.S. Mission to Japan,https://www.grants.gov/search-results-detail/358791,05/01/2025,09/30/2025,posted
Celebrating America&rsquo;s 250th Anniversary (LBN-PDS-2025-APS),U.S. Mission to Lebanon,https://www.grants.gov/search-results-detail/360219,08/02/2025,09/02/2025,posted
Celebrating America's 250th Anniversary (APS 2025) (PDS-FRANCE-FY2025-02),U.S. Mission to France,https://www.grants.gov/search-results-detail/359745,06/27/2025,01/05/2026,posted
Scholarly Editions and Translations (20241127-RQ),National Endowment for the Humanities,https://www.grants.gov/search-results-detail/351491,07/25/2024,12/03/2025,posted
"Sustainable Range Study Richardson Training Area, Fort Wainwright and Donnelly Training Area, Alaska (SOW 25-101) (W911KB-25-2-0010)",Alaska District,https://www.grants.gov/search-results-detail/359983,07/10/2025,09/08/2025,posted
