Grant Name,Sponsor,Link,Open Date,Deadline,Status
LPS Qubit Collaboratory (LQC) (W911NF21S0009),Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/332894,04/16/2021,04/30/2026,posted
Quantum Leap Challenge Institutes (24-599),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/356228,08/27/2024,09/17/2025,posted
Thermal Transport Processes (PD-23-1406),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/347324,04/05/2023,,posted
Condensed Matter and Materials Theory (23-611),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/349654,08/01/2023,,posted
Nanoscale Interactions (PD-23-1179),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/347323,04/05/2023,,posted
"Electronics, Photonics and Magnetic Devices (PD-18-1517)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/345872,02/08/2023,,posted
Air Force Fiscal Year 2026 Young Investigator Program (YIP) (NOFOAFRLAFOSR20250006),Air Force Office of Scientific Research,https://www.grants.gov/search-results-detail/359762,06/30/2025,09/19/2025,posted
UNITED STATES MILITARY ACADEMY Broad Agency Announcement (W911NF-20-S-0008),Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/325932,04/01/2020,03/31/2027,posted
IUSE/Professional Formation of Engineers:  Revolutionizing Engineering Departments (24-564),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/353413,04/05/2024,09/09/2025,posted
"Communications, Circuits, and Sensing-Systems (PD-18-7564)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/346204,02/17/2023,,posted
Tribal Colleges and Universities Program (21-595),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/334326,06/24/2021,09/02/2025,posted
Topology (PD-22-1267),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/340544,05/20/2022,11/04/2025,posted
Centers for Chemical Innovation (23-575),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/359954,07/08/2025,11/17/2025,posted
"Process Systems, Reaction Engineering, and Molecular Thermodynamics (PD-23-1403)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/348793,06/18/2023,,posted
Catalysis (PD-23-1401),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/348932,06/27/2023,,posted
Centers of Research Excellence in Science and Technology - Research Infrastructure for Science and Engineering (24-562),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/359061,05/21/2025,08/07/2026,posted
FY 2025 Continuation of Solicitation for the Office of Science Financial Assistance Program (DE-FOA-0003432),Office of Science,https://www.grants.gov/search-results-detail/356590,09/30/2024,09/30/2025,posted
DEVCOM ARMY RESEARCH LABORATORY BROAD AGENCY ANNOUNCEMENT FOR FOUNDATIONAL RESEARCH (W911NF-23-S-0001),Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/344592,11/21/2022,11/20/2027,posted
Research Interests of the Air Force Office of Scientific Research (FA955025S0001),Air Force Office of Scientific Research,https://www.grants.gov/search-results-detail/359050,05/20/2025,,posted
