Grant Name,Sponsor,Link,Opp ID,Opportunity Number,Open Date,Deadline,Status
Reliable Ore Characterization with Keystone Sensing SBIR/STTR (ROCKS SBIR/STTR) (DE-FOA-0003593),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360354,360354,DE-FOA-0003593,08/25/2025,09/25/2025,posted
Reliable Ore Characterization with Keystone Sensing (ROCKS) (DE-FOA-0003592),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360353,360353,DE-FOA-0003592,08/25/2025,09/25/2025,posted
Magnetic Acceleration Generating New Innovations and Tactical Outcomes (MAGNITO) (DE-FOA-0003590),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360355,360355,DE-FOA-0003590,08/25/2025,09/24/2025,posted
SPURRING PROJECTS TO ADVANCE ENERGY RESEARCH AND KNOWLEDGE SWIFTLY (SPARKS) (DE-FOA-0003164),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/350952,350952,DE-FOA-0003164,11/09/2023,09/30/2029,posted
Partnership Intermediary Agreement (PIA) (FA8651-22-S0021),Munitions Directorate,https://www.grants.gov/search-results-detail/336962,336962,FA8651-22-S0021,12/14/2021,,forecasted
LPS Qubit Collaboratory (LQC) (W911NF21S0009),Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/332894,332894,W911NF21S0009,04/16/2021,04/30/2026,posted
NSF National Quantum Virtual Laboratory - Quantum Testbeds (24-586),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/355196,355196,24-586,06/28/2024,04/07/2026,posted
BRAIN Initiative: Optimization of Instrumentation and Device Technologies for Recording and Modulation in the Nervous System (U01 Clinical Trials Not Allowed) (RFA-NS-25-017),National Institutes of Health,https://www.grants.gov/search-results-detail/356510,356510,RFA-NS-25-017,09/24/2024,01/20/2026,posted
University Nuclear Leadership Program&ndash; Scholarship and Fellowship Support (DE-FOA-0002265),Idaho Field Office,https://www.grants.gov/search-results-detail/329436,329436,DE-FOA-0002265,10/15/2020,10/14/2030,posted
Annual Program Statement (APS) (PDS-ATHENS-FY25-01),U.S. Mission to Greece,https://www.grants.gov/search-results-detail/359266,359266,PDS-ATHENS-FY25-01,06/06/2025,,forecasted
Artificial Intelligence and Technology Collaboratory (RFA-AG-26-006),National Institutes of Health,https://www.grants.gov/search-results-detail/359654,359654,RFA-AG-26-006,06/12/2025,,forecasted
Artificial Intelligence and Technology Collaboratory Coordinating Center (RFA-AG-26-007),National Institutes of Health,https://www.grants.gov/search-results-detail/359652,359652,RFA-AG-26-007,06/09/2025,,forecasted
Forecast to Publish a Funding Opportunity Announcement for Advanced Development of Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional) (FOR-CA-25-074),National Institutes of Health,https://www.grants.gov/search-results-detail/359855,359855,FOR-CA-25-074,07/02/2025,,forecasted
BRAIN Initiative: New Concepts and Early-Stage Research for Recording and Modulation in the Nervous System (R21) (Clinical Trial Not Allowed) (RFA-EY-25-001),National Institutes of Health,https://www.grants.gov/search-results-detail/357601,357601,RFA-EY-25-001,12/09/2024,06/15/2026,posted
Research on Innovative Technologies for Enhanced Learning (23-624),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/350347,350347,23-624,09/27/2023,11/04/2025,posted
Awards Supporting Cutting-Edge Technologies for Translational Science (ASCETTS) (R21 Clinical Trials Not Allowed) (PAR-25-157),National Institutes of Health,https://www.grants.gov/search-results-detail/357625,357625,PAR-25-157,12/10/2024,06/18/2026,posted
Forecast to Publish a Funding Opportunity Announcement for Early-Stage Development of Informatics Technologies for Cancer Research and Management (U01 Clinical Trial Optional) (FOR-CA-25-073),National Institutes of Health,https://www.grants.gov/search-results-detail/359892,359892,FOR-CA-25-073,07/02/2025,,forecasted
NSF Small Business Innovation Research / Small Business Technology Transfer Fast-Track Pilot Programs (24-582),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/355009,355009,24-582,06/18/2024,11/05/2025,posted
"National Defense Education Program (NDEP) Science, Technology, Engineering, and Mathematics (STEM) Consortia Request for Information (RFI) for the Office of the Under Secretary of Defense (Research &amp; Engineering) (RANDENDEPSTEMFY22RFI)",Department of Defense,https://www.grants.gov/search-results-detail/334905,334905,RANDENDEPSTEMFY22RFI,07/27/2021,,forecasted
Biosensing (PD-20-7909),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/320536,320536,PD-20-7909,09/12/2019,,posted
BRAIN Initiative: New Technologies and Novel Approaches for Recording and Modulation in the Nervous System (R01 Clinical Trial Not Allowed) (RFA-NS-25-018),National Institutes of Health,https://www.grants.gov/search-results-detail/356511,356511,RFA-NS-25-018,09/24/2024,01/20/2026,posted
Advanced Technologies and Instrumentation for the Astronomical Sciences (22-627),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/343166,343166,22-627,08/18/2022,11/17/2025,posted
NSF Small Business Innovation Research / Small Business Technology Transfer Phase I Programs (24-579),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/354632,354632,24-579,05/31/2024,11/05/2025,posted
Biomedical Technology Optimization and Dissemination Center (BTOD)(RM1-Clinical Trial Not Allowed) (PAR-23-110),National Institutes of Health,https://www.grants.gov/search-results-detail/346659,346659,PAR-23-110,03/07/2023,01/27/2026,posted
Advanced Development and Validation of Emerging Molecular and Cellular Analysis Technologies for Basic and Clinical Cancer Research (R33 Clinical Trial Not Allowed) (RFA-CA-25-002),National Institutes of Health,https://www.grants.gov/search-results-detail/357738,357738,RFA-CA-25-002,12/16/2024,10/03/2025,posted
Long Range Broad Agency Announcement (BAA) for NSWC Crane (N0016424SNB35),NSWC CRANE - N00164,https://www.grants.gov/search-results-detail/352238,352238,N0016424SNB35,02/08/2024,,posted
Annual Program Statement (APS) for Fiscal Year 2025 (PAS-TUNIS-FY2025),U.S. Mission to Tunisia,https://www.grants.gov/search-results-detail/359120,359120,PAS-TUNIS-FY2025,06/02/2025,,forecasted
Pathways to Enable Open-Source Ecosystems (24-606),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/356423,356423,24-606,09/14/2024,09/02/2025,posted
National Centers for Biomedical Imaging and Bioengineering (NCBIB) (P41 Clinical Trials Optional) (PAR-23-235),National Institutes of Health,https://www.grants.gov/search-results-detail/349618,349618,PAR-23-235,07/28/2023,09/07/2026,posted
Science of Learning and Augmented Intelligence (SL) (PD-19-127Y),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/320753,320753,PD-19-127Y,09/19/2019,02/11/2026,posted
Small Business Translator: MedTech and Digital Health Technologies (FOR-NS-25-017),National Institutes of Health,https://www.grants.gov/search-results-detail/359156,359156,FOR-NS-25-017,05/28/2025,,forecasted
"NSF Scholarships in Science, Technology, Engineering, and Mathematics Program (25-514)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/357498,357498,25-514,12/03/2024,03/03/2026,posted
Notice of Intent to Publish a Funding Opportunity Announcement for Advancing Research on the Application of Digital Health Technology to the Management of Type 2 Diabetes (NOT-DK-26-315),National Institutes of Health,https://www.grants.gov/search-results-detail/359252,359252,NOT-DK-26-315,06/05/2025,,forecasted
Transformative Non-Invasive/Minimally Invasive Technologies for Imaging the Olfactory System Across Scales (R01 Clinical Trial Optional) (NOT-DC-25-035),National Institutes of Health,https://www.grants.gov/search-results-detail/359696,359696,NOT-DC-25-035,07/17/2025,,forecasted
Forecast to Publish a Funding Opportunity Announcement for Sustained Support for Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional) (FOR-CA-25-075),National Institutes of Health,https://www.grants.gov/search-results-detail/359853,359853,FOR-CA-25-075,07/02/2025,,forecasted
NSF Small Business Innovation Research  / Small Business Technology Transfer Phase II Programs (24-580),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/354633,354633,24-580,05/31/2024,11/05/2025,posted
"Development of Resources and Technologies for Enhancing Rigor, Reproducibility, and Translatability of Animal Models in Biomedical Research (R01 Clinical Trial Not Allowed) (PAR-25-076)",National Institutes of Health,https://www.grants.gov/search-results-detail/356850,356850,PAR-25-076,10/25/2024,09/07/2025,posted
Innovative Biospecimen Science Technologies for Basic and Clinical Cancer Research (R61 Clinical Trial Not Allowed) (RFA-CA-25-003),National Institutes of Health,https://www.grants.gov/search-results-detail/357735,357735,RFA-CA-25-003,12/16/2024,10/03/2025,posted
Advanced Development and Validation of Emerging Biospecimen Science Technologies for Basic and Clinical Cancer Research (R33 Clinical Trial Not Allowed) (RFA-CA-25-004),National Institutes of Health,https://www.grants.gov/search-results-detail/357737,357737,RFA-CA-25-004,12/16/2024,10/03/2025,posted
Centers of Research Excellence in Science and Technology - Research Infrastructure for Science and Engineering (24-562),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/359061,359061,24-562,05/21/2025,08/07/2026,posted
TECHGATE (DFOP0017381),Bureau of Cyberspace and Digital Policy,https://www.grants.gov/search-results-detail/360408,360408,DFOP0017381,08/29/2025,09/02/2025,posted
UNITED STATES MILITARY ACADEMY Broad Agency Announcement (W911NF-20-S-0008),Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/325932,325932,W911NF-20-S-0008,04/01/2020,03/31/2027,posted
Tactical Behaviors for Autonomous Maneuver (W911NF-22-S-0011),Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/339728,339728,W911NF-22-S-0011,04/22/2022,,posted
FAA Aviation Research Grants Program (20-01),DOT - FAA Aviation Research Grants,https://www.grants.gov/search-results-detail/328902,328902,20-01,09/08/2020,09/07/2027,posted
FY2025 ABPP - Battlefield Interpretation Grant (P25AS00477),National Park Service,https://www.grants.gov/search-results-detail/360361,360361,P25AS00477,08/27/2025,11/25/2025,posted
DEVCOM ANALYSIS CENTER BROAD AGENCY ANNOUNCEMENT FOR APPLIED RESEARCH (W911NF-23-S-0003),Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/345241,345241,W911NF-23-S-0003,01/05/2023,01/04/2028,posted
U.S. Mission T&uuml;rkiye Public Diplomacy Grants Program (TR-NOFO-FY25-02),Bureau of European and Eurasian Affairs,https://www.grants.gov/search-results-detail/358883,358883,TR-NOFO-FY25-02,05/12/2025,,forecasted
Innovation Corps Teams (I-CorpsTM* Teams)  Program (21-552),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/330934,330934,21-552,01/15/2021,,posted
Fire Science Innovations through Research and Education (PD-25-345Y),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/358568,358568,PD-25-345Y,03/16/2025,02/10/2026,posted
GREGoRi Innovation Projects (U01 Clinical Trial Optional) (FOR-HG-25-036),National Institutes of Health,https://www.grants.gov/search-results-detail/359644,359644,FOR-HG-25-036,06/10/2025,,forecasted
Forecast to Publish a Notice of Funding Opportunity for Small Business Transition Grant For Early Career Scientists (R41/R42 Clinical Trial Not Allowed) (FOR-CA-25-087),National Institutes of Health,https://www.grants.gov/search-results-detail/359724,359724,FOR-CA-25-087,06/16/2025,,forecasted
Advance Tech Innovation Collaboration Through C-SIPA (DOS-MANAMA-PD-2025-003),U.S. Mission to Bahrain,https://www.grants.gov/search-results-detail/360097,360097,DOS-MANAMA-PD-2025-003,08/03/2025,01/05/2026,posted
Faculty Early Career Development Program (22-586),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/339594,339594,22-586,04/19/2022,07/22/2026,posted
Catalyze: Enabling Technologies and Transformative Platforms for HLBS Research (R33 - Clinical Trials Not Allowed) (RFA-HL-26-016),National Institutes of Health,https://www.grants.gov/search-results-detail/357330,357330,RFA-HL-26-016,11/22/2024,12/23/2027,posted
Development of Novel or Improved Infertility Technologies (R61/R33 Clinical Trial Optional) (NOT-HD-25-013),National Institutes of Health,https://www.grants.gov/search-results-detail/359144,359144,NOT-HD-25-013,05/27/2025,,forecasted
Forecast for BRAIN Initiative Connectivity across Scales (BRAIN CONNECTS): Specialized Projects for Scalable Technologies (U01 Clinical Trial Not Allowed) (NOT-NS-24-130),National Institutes of Health,https://www.grants.gov/search-results-detail/356205,356205,NOT-NS-24-130,08/26/2024,,forecasted
Notice of Intent to Publish a Funding Opportunity Announcement: Technology Development to Reduce Health Disparities (R01 Clinical Trial Optional) (NOT-EB-26-001),National Institutes of Health,https://www.grants.gov/search-results-detail/358869,358869,NOT-EB-26-001,05/21/2025,,forecasted
Notice of Intent to Publish a Funding Opportunity Announcement for Impact of Technology and Digital Media Exposure Usage on Child and Adolescent Development (NOT-HD-25-008),National Institutes of Health,https://www.grants.gov/search-results-detail/359070,359070,NOT-HD-25-008,06/25/2025,,forecasted
