Grant Name,Sponsor,Link,Opp ID,Opportunity Number,Open Date,Deadline,Status
"Homeless Veterans&rsquo; Reintegration Program (HVRP), Incarcerated Veterans&rsquo; Transition Program (IVTP), and the Homeless Women Veterans' and Homeless Veterans' with Children Reintegration Grant Program (HWVHVWC) (referred to collectively as HVRP) (FOA-VETS-26-01)",Veterans Employment and Training Service,https://www.grants.gov/search-results-detail/360161,360161,FOA-VETS-26-01,07/28/2025,,forecasted
Veterans Legacy Grants Program (VA-NCA-VLGP-FY2026),Veterans Legacy Grants Program,https://www.grants.gov/search-results-detail/360057,360057,VA-NCA-VLGP-FY2026,07/17/2025,,forecasted
Grants for Adaptive Sports Programs for Disabled Veterans and Disabled Members of the Armed Forces (Equine Assisted Therapy) (VA-EQUINE-25-FORECAST),National Veterans Sports Programs,https://www.grants.gov/search-results-detail/356106,356106,VA-EQUINE-25-FORECAST,08/30/2024,,forecasted
Grants for Adaptive Sports  Programs for Disabled Veterans  and Members of the Armed  Forces program (VA-SPORTS-25-FORECAST),National Veterans Sports Programs,https://www.grants.gov/search-results-detail/356107,356107,VA-SPORTS-25-FORECAST,08/30/2024,,forecasted
Announcement of Stand Down Grants (VPL-01-23),Veterans Employment and Training Service,https://www.grants.gov/search-results-detail/345327,345327,VPL-01-23,01/10/2023,09/30/2025,posted
State Veterans Home Construction Grant Program (VA-GRANTS-112508-002),Construction of State Home Facilities,https://www.grants.gov/search-results-detail/58617,58617,VA-GRANTS-112508-002,11/01/2010,,posted
"National Defense Education Program (NDEP) Science, Technology, Engineering, and Mathematics (STEM) Consortia Request for Information (RFI) for the Office of the Under Secretary of Defense (Research &amp; Engineering) (RANDENDEPSTEMFY22RFI)",Department of Defense,https://www.grants.gov/search-results-detail/334905,334905,RANDENDEPSTEMFY22RFI,07/27/2021,,forecasted
Partnership Intermediary Agreement (PIA) (FA8651-22-S0021),Munitions Directorate,https://www.grants.gov/search-results-detail/336962,336962,FA8651-22-S0021,12/14/2021,,forecasted
"DOD Peer Reviewed Cancer, Idea Award (HT942525PRCRPIA)",Dept. of the Army -- USAMRAA,https://www.grants.gov/search-results-detail/359097,359097,HT942525PRCRPIA,05/22/2025,09/25/2025,posted
Media Training &amp; Development (MT&amp;D)  Small Grants Program (FY-2021VE002),U.S. Mission to Venezuela,https://www.grants.gov/search-results-detail/333291,333291,FY-2021VE002,05/04/2021,,forecasted
