Grant name,Sponsor org,Link,Award max,RFP,Innovation/execution,Latest preparation start date,App deadline,Partners notes,Match req %,Timeline summary,App process,App package,Extra notes
Mathematical Foundations of Digital Twins (24-559),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/353134,,https://www.grants.gov/search-results-detail/353134,,,03/16/2026,,,Open 03/23/2024 → Close 03/16/2026,,,Status: posted
Laboratories to Optimize Digital Health (R01 Clinical Trial Required) (PAR-25-136),National Institutes of Health,https://www.grants.gov/search-results-detail/357034,,https://www.grants.gov/search-results-detail/357034,,,01/07/2028,,,Open 11/07/2024 → Close 01/07/2028,,,Status: posted
Manufacturing Systems Integration (PD-23-229Y),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/345354,,https://www.grants.gov/search-results-detail/345354,,,,,,Open 01/12/2023 → Close ,,,Status: posted
Foundations for Digital Twins as Catalyzers of Biomedical Technological Innovation (24-561),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/353135,,https://www.grants.gov/search-results-detail/353135,,,05/04/2026,,,Open 03/23/2024 → Close 05/04/2026,,,Status: posted
Funding for New Counter-Disinformation Game (S-NL800-20-GR-3011),U.S. Mission to the Netherlands,https://www.grants.gov/search-results-detail/334791,,https://www.grants.gov/search-results-detail/334791,,,,,,Open 07/19/2021 → Close ,,,Status: forecasted
National Digital Newspaper Program (20260109-PJ),National Endowment for the Humanities,https://www.grants.gov/search-results-detail/358394,,https://www.grants.gov/search-results-detail/358394,,,01/15/2026,,,Open 08/20/2025 → Close 01/15/2026,,,Status: posted
Understanding the Intersection of Forced Scamming and Child Labor in Southeast Asia (RFI-ILAB-24-01),Bureau of International Labor Affairs,https://www.grants.gov/search-results-detail/357126,,https://www.grants.gov/search-results-detail/357126,,,,,,Open 11/14/2024 → Close ,,,Status: forecasted
Notice of Intent to Publish a Funding Opportunity Announcement for Impact of Technology and Digital Media Exposure Usage on Child and Adolescent Development (NOT-HD-25-008),National Institutes of Health,https://www.grants.gov/search-results-detail/359070,,https://www.grants.gov/search-results-detail/359070,,,,,,Open 06/25/2025 → Close ,,,Status: forecasted
TECHGATE (DFOP0017381),Bureau of Cyberspace and Digital Policy,https://www.grants.gov/search-results-detail/360408,,https://www.grants.gov/search-results-detail/360408,,,09/02/2025,,,Open 08/29/2025 → Close 09/02/2025,,,Status: posted
Media Training &amp; Development (MT&amp;D)  Small Grants Program (FY-2021VE002),U.S. Mission to Venezuela,https://www.grants.gov/search-results-detail/333291,,https://www.grants.gov/search-results-detail/333291,,,,,,Open 05/04/2021 → Close ,,,Status: forecasted
Dynamic Language Infrastructure &ndash; Documenting Endangered Languages Fellowships (20250910-FN),National Endowment for the Humanities,https://www.grants.gov/search-results-detail/356523,,https://www.grants.gov/search-results-detail/356523,,,,,,Open 09/25/2024 → Close ,,,Status: forecasted
New Generation of Glucose Control Technologies Incorporating AI/ML Tools/Strategies (NOT-DK-26-307),National Institutes of Health,https://www.grants.gov/search-results-detail/359200,,https://www.grants.gov/search-results-detail/359200,,,,,,Open 06/18/2025 → Close ,,,Status: forecasted
Public Diplomacy Small Grants Program (DOS-USEU-PD-2020-002),U.S. Mission to the European Union,https://www.grants.gov/search-results-detail/327185,,https://www.grants.gov/search-results-detail/327185,,,,,,Open 05/20/2020 → Close ,,,Status: forecasted
Small Business Translator: MedTech and Digital Health Technologies (FOR-NS-25-017),National Institutes of Health,https://www.grants.gov/search-results-detail/359156,,https://www.grants.gov/search-results-detail/359156,,,,,,Open 05/28/2025 → Close ,,,Status: forecasted
Using Innovative Digital Healthcare Solutions to Improve Quality at the Point of Care (R21/R33 - Clinical Trial Optional) (PA-24-266),Agency for Health Care Research and Quality,https://www.grants.gov/search-results-detail/355533,,https://www.grants.gov/search-results-detail/355533,,,07/31/2026,,,Open 07/19/2024 → Close 07/31/2026,,,Status: posted
Digital Health Technology Derived Biomarkers and Outcome Assessments for Remote Monitoring and Endpoint Development (UG3/UH3 - Clinical Trial Optional) (PAR-25-170),National Institutes of Health,https://www.grants.gov/search-results-detail/357087,,https://www.grants.gov/search-results-detail/357087,,,06/22/2026,,,Open 11/13/2024 → Close 06/22/2026,,,Status: posted
Rediscovering Our Revolutionary Tradition (20250904-PQ),National Endowment for the Humanities,https://www.grants.gov/search-results-detail/359731,,https://www.grants.gov/search-results-detail/359731,,,09/04/2025,,,Open 06/16/2025 → Close 09/04/2025,,,Status: posted
EducationUSA Fair 2025 (PAS-JOR-FY25-002),U.S. Mission to Jordan,https://www.grants.gov/search-results-detail/358813,,https://www.grants.gov/search-results-detail/358813,,,,,,Open 05/05/2025 → Close ,,,Status: forecasted
Notice of Intent (NOI) related to &quot;HARMONY: Human-Centric Analytics for Resilient &amp; Modernized Power sYstems&rdquo; (DE-FOA-0003445),National Energy Technology Laboratory,https://www.grants.gov/search-results-detail/356444,,https://www.grants.gov/search-results-detail/356444,,,12/31/2025,,,Open 09/17/2024 → Close 12/31/2025,,,Status: posted
U.S. Mission T&uuml;rkiye Public Diplomacy Grants Program (TR-NOFO-FY25-02),Bureau of European and Eurasian Affairs,https://www.grants.gov/search-results-detail/358883,,https://www.grants.gov/search-results-detail/358883,,,,,,Open 05/12/2025 → Close ,,,Status: forecasted
Promote Transparency by Enhancing Citizens&rsquo; Access to Information on Public Revenues. (PGO-FY2024-FTIF-01),U.S. Mission to Mauritania,https://www.grants.gov/search-results-detail/360246,,https://www.grants.gov/search-results-detail/360246,,,09/08/2025,,,Open 08/06/2025 → Close 09/08/2025,,,Status: posted
LPS Qubit Collaboratory (LQC) (W911NF21S0009),Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/332894,,https://www.grants.gov/search-results-detail/332894,,,04/30/2026,,,Open 04/16/2021 → Close 04/30/2026,,,Status: posted
NSF Dynamic Language Infrastructure - NEH Documenting Endangered Languages (22-615),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/342475,,https://www.grants.gov/search-results-detail/342475,,,09/15/2025,,,Open 07/17/2022 → Close 09/15/2025,,,Status: posted
Dynamic Language Infrastructure-Doctoral Dissertation Research Improvement Grants (22-616),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/342476,,https://www.grants.gov/search-results-detail/342476,,,09/15/2025,,,Open 07/17/2022 → Close 09/15/2025,,,Status: posted
Mission Spain Public Diplomacy 2022 Annual Program Statement (ESP22APS),U.S. Mission to Spain,https://www.grants.gov/search-results-detail/336244,,https://www.grants.gov/search-results-detail/336244,,,,,,Open 11/02/2021 → Close ,,,Status: posted
Computational and Data-Enabled Science and Engineering in Mathematical and Statistical Sciences (PD-22-8069),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/341998,,https://www.grants.gov/search-results-detail/341998,,,,,,Open 07/11/2022 → Close ,,,Status: posted
Bidirectional Influences Between Adolescent Social Media Use and Mental Health (R21 Clinical Trial Optional) (RFA-MH-25-206),National Institutes of Health,https://www.grants.gov/search-results-detail/356911,,https://www.grants.gov/search-results-detail/356911,,,10/20/2025,,,Open 10/30/2024 → Close 10/20/2025,,,Status: posted
NLM Research Grants in Biomedical Informatics and Data Science (R01 Clinical Trial Optional) (PAR-23-034),National Institutes of Health,https://www.grants.gov/search-results-detail/343957,,https://www.grants.gov/search-results-detail/343957,,,01/07/2026,,,Open 10/06/2022 → Close 01/07/2026,,,Status: posted
"Single Source: Accelerating Medicines Partnership&reg; Schizophrenia (AMP&reg; SCZ): Clinical Trial Data Processing, Analysis, and Coordination Center (FOR-MH-26-205)",National Institutes of Health,https://www.grants.gov/search-results-detail/359699,,https://www.grants.gov/search-results-detail/359699,,,,,,Open 06/17/2025 → Close ,,,Status: forecasted
