Grant name,Sponsor org,Link,Award max,RFP,Innovation/execution,Latest preparation start date,App deadline,Partners notes,Match req %,Timeline summary,App process,App package,Extra notes
Thermal Transport Processes (PD-23-1406),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/347324,,https://www.grants.gov/search-results-detail/347324,,,,,,Open 04/05/2023 → Close ,,,Status: posted
"Energy, Power, Control, and Networks (PD-18-7607)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/348258,,https://www.grants.gov/search-results-detail/348258,,,,,,Open 05/19/2023 → Close ,,,Status: posted
FY 2025 Continuation of Solicitation for the Office of Science Financial Assistance Program (DE-FOA-0003432),Office of Science,https://www.grants.gov/search-results-detail/356590,,https://www.grants.gov/search-results-detail/356590,,,09/30/2025,,,Open 09/30/2024 → Close 09/30/2025,,,Status: posted
NIEHS Worker Training Program&rsquo;s HAZMAT Training at DOE Nuclear Weapons Complex (UH4 Clinical Trial Not Allowed) (TEMP-31334),National Institutes of Health,https://www.grants.gov/search-results-detail/359970,,https://www.grants.gov/search-results-detail/359970,,,,,,Open 07/17/2025 → Close ,,,Status: forecasted
Particulate and Multiphase Processes (PD-23-1415),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/347325,,https://www.grants.gov/search-results-detail/347325,,,,,,Open 04/05/2023 → Close ,,,Status: posted
Small Surface Water and Groundwater Storage Projects (Small Storage Program) (R25AS00270),Bureau of Reclamation,https://www.grants.gov/search-results-detail/360059,,https://www.grants.gov/search-results-detail/360059,,,04/17/2026,,,Open 07/17/2025 → Close 04/17/2026,,,Status: posted
Innovative Biospecimen Science Technologies for Basic and Clinical Cancer Research (R61 Clinical Trial Not Allowed) (RFA-CA-25-003),National Institutes of Health,https://www.grants.gov/search-results-detail/357735,,https://www.grants.gov/search-results-detail/357735,,,10/03/2025,,,Open 12/16/2024 → Close 10/03/2025,,,Status: posted
Chesapeake Center for Collaborative Computing (EPA-R3-CBP-25-01),Environmental Protection Agency,https://www.grants.gov/search-results-detail/360119,,https://www.grants.gov/search-results-detail/360119,,,09/10/2025,,,Open 07/23/2025 → Close 09/10/2025,,,Status: posted
FY2025 NAGPRA Repatriation Grants (P25AS00474),National Park Service,https://www.grants.gov/search-results-detail/357994,,https://www.grants.gov/search-results-detail/357994,,,05/08/2026,,,Open 01/03/2025 → Close 05/08/2026,,,Status: posted
U.S. Ambassadors Fund for Cultural Preservation (AFCP) 2021 Small Grant Competition (PAS-JAKARTA-FY20-04),U.S. Mission to Indonesia,https://www.grants.gov/search-results-detail/327284,,https://www.grants.gov/search-results-detail/327284,,,,,,Open 05/22/2020 → Close ,,,Status: forecasted
AFCP 2020 Small Grants Competition (AFCPLG20),U.S. Mission to Egypt,https://www.grants.gov/search-results-detail/322815,,https://www.grants.gov/search-results-detail/322815,,,,,,Open 12/02/2019 → Close ,,,Status: forecasted
CCRP Initiative: NIH Countermeasures Against Chemical Threats (CounterACT) Basic Research on Chemical Threats that Affect the Nervous System (R01 Clinical Trial Not Allowed) (PAR-25-077),National Institutes of Health,https://www.grants.gov/search-results-detail/356935,,https://www.grants.gov/search-results-detail/356935,,,10/16/2026,,,Open 11/01/2024 → Close 10/16/2026,,,Status: posted
