Grant name	Sponsor org	Link	Award max	RFP	Innovation/execution	Latest preparation start date	App deadline	Partners notes	Match req %	Timeline summary	App process	App package	Extra notes
Economics (PD-23-1320)	U.S. National Science Foundation	https://www.grants.gov/search-results-detail/348164		https://www.grants.gov/search-results-detail/348164						Open 05/17/2023 → Close 			Status: posted
Bipartisan Infrastructure Law - Carbon Dioxide Transportation Infrastructure Finance and Innovation (CIFIA) Program: Future Growth Grants (Section 40304) (DE-FOA-0002966)	National Energy Technology Laboratory	https://www.grants.gov/search-results-detail/353946		https://www.grants.gov/search-results-detail/353946			01/02/2026			Open 05/02/2024 → Close 01/02/2026			Status: posted
Promote Transparency by Enhancing Citizens&rsquo; Access to Information on Public Revenues. (PGO-FY2024-FTIF-01)	U.S. Mission to Mauritania	https://www.grants.gov/search-results-detail/360246		https://www.grants.gov/search-results-detail/360246			09/08/2025			Open 08/06/2025 → Close 09/08/2025			Status: posted
Fiscal Year 2025 Safeguarding Tomorrow through Ongoing Risk Mitigation Revolving Loan Fund Program (DHS-25-STORM-139-00-99)	Department of Homeland Security - FEMA	https://www.grants.gov/search-results-detail/358188		https://www.grants.gov/search-results-detail/358188			09/30/2025			Open 01/14/2025 → Close 09/30/2025			Status: posted
Partnerships with MCC Program (95332419N0001)	Millennium Challenge Corporation	https://www.grants.gov/search-results-detail/314279		https://www.grants.gov/search-results-detail/314279			03/31/2027			Open 03/26/2019 → Close 03/31/2027			Status: posted
MINE HEALTH AND SAFETY STATE GRANTS (MSHA-2025-1)	Mine Safety and Health Administration	https://www.grants.gov/search-results-detail/360276		https://www.grants.gov/search-results-detail/360276			09/09/2025			Open 08/11/2025 → Close 09/09/2025			Status: posted
Cooperative Agreement for affiliated Partner with the Desert Southwest Cooperative Ecosystem Studies Unit (CESU) (G25AS00326)	Geological Survey	https://www.grants.gov/search-results-detail/359978		https://www.grants.gov/search-results-detail/359978			08/31/2025			Open 07/10/2025 → Close 08/31/2025			Status: posted
Cooperative Agreement for affiliated Partner with the North Atlantic Coast Cooperative Ecosystem Studies Unit (G25AS00341)	Geological Survey	https://www.grants.gov/search-results-detail/360271		https://www.grants.gov/search-results-detail/360271			09/08/2025			Open 08/08/2025 → Close 09/08/2025			Status: posted
Cooperative Agreement for affiliated Partner with the Great Rivers Cooperative Ecosystem Studies Unit (CESU) (G25AS00340)	Geological Survey	https://www.grants.gov/search-results-detail/360272		https://www.grants.gov/search-results-detail/360272			09/08/2025			Open 08/08/2025 → Close 09/08/2025			Status: posted
Cooperative Agreement for affiliated Partner with the Great Basin Cooperative Ecosystem Studies Unit (G25AS00342)	Geological Survey	https://www.grants.gov/search-results-detail/360273		https://www.grants.gov/search-results-detail/360273			09/08/2025			Open 08/08/2025 → Close 09/08/2025			Status: posted
