Grant Name,Sponsor,Link,Open Date,Deadline,Status,Relevance,EQORE Fit,Ease of Use,Match %,Opp ID,Opportunity Number
Promoting Human Rights For Vulnerable Children in Haut-Katanga (DRC-ARDF-FY20-01),U.S. Mission to the Democratic Republic of Congo,https://www.grants.gov/search-results-detail/334551,07/02/2021,,forecasted,,,,,334551,DRC-ARDF-FY20-01
"Residential (Group Home, Shelter, Transitional Foster Care) Services for Unaccompanied Alien Children (HHS-2025-ACF-ORR-ZU-0042)",Administration for Children and Families - ORR,https://www.grants.gov/search-results-detail/357220,08/15/2025,10/14/2025,posted,,,,,357220,HHS-2025-ACF-ORR-ZU-0042
Notice of Intent to Publish a Funding Opportunity Announcement for Impact of Technology and Digital Media Exposure Usage on Child and Adolescent Development (NOT-HD-25-008),National Institutes of Health,https://www.grants.gov/search-results-detail/359070,06/25/2025,,forecasted,,,,,359070,NOT-HD-25-008
Support for a National Electronic Interstate Records Exchange System (HHS-2025-ACF-ACYF-CO-0079),Administration for Children and Families - ACYF/CB,https://www.grants.gov/search-results-detail/356022,08/13/2024,,forecasted,,,,,356022,HHS-2025-ACF-ACYF-CO-0079
Residential (Long Term Foster Care) Services for Unaccompanied Children (HHS-2023-ACF-ORR-ZU-0162),Administration for Children and Families - ORR,https://www.grants.gov/search-results-detail/340671,05/25/2022,,forecasted,,,,,340671,HHS-2023-ACF-ORR-ZU-0162
Prevention Services Evaluation Partnerships: Supporting Adoptive Families (HHS-2025-ACF-OPRE-FA-0101),Administration for Children and Families - OPRE,https://www.grants.gov/search-results-detail/355490,07/08/2025,09/08/2025,posted,,,,,355490,HHS-2025-ACF-OPRE-FA-0101
Health Home for Children with Medically Complex Conditions (CMS-3J3-23-001),Centers for Medicare & Medicaid Services,https://www.grants.gov/search-results-detail/343826,09/30/2022,10/01/2025,posted,,,,,343826,CMS-3J3-23-001
Translational Research in Maternal and Pediatric Pharmacology and Therapeutics (R01 Clinical Trial Optional) (PAR-25-110),National Institutes of Health,https://www.grants.gov/search-results-detail/357184,11/18/2024,05/07/2026,posted,,,,,357184,PAR-25-110
Translational Research in Maternal and Pediatric Pharmacology and Therapeutics (R21 Clinical Trial Optional) (PAR-25-111),National Institutes of Health,https://www.grants.gov/search-results-detail/357185,11/18/2024,05/07/2026,posted,,,,,357185,PAR-25-111
Advancement and Innovation in Measurement of Language Development and Predictors (R01 Clinical Trial Not Allowed) (PAR-25-112),National Institutes of Health,https://www.grants.gov/search-results-detail/357186,11/18/2024,09/07/2027,posted,,,,,357186,PAR-25-112
Advancement and Innovation in Measurement of Language Development and Predictors (R21 Clinical Trial Not Allowed) (PAR-25-113),National Institutes of Health,https://www.grants.gov/search-results-detail/357187,11/18/2024,09/07/2027,posted,,,,,357187,PAR-25-113
Information and Practice Needs Relevant to Late Talking Children (R21 Clinical Trial Not Allowed) (PAR-25-217),National Institutes of Health,https://www.grants.gov/search-results-detail/357254,11/20/2024,10/02/2025,posted,,,,,357254,PAR-25-217
Leveraging Extant Data to Understand Developmental Trajectories of Late Talking Children (R21 Clinical Trial Not Allowed) (PAR-25-220),National Institutes of Health,https://www.grants.gov/search-results-detail/357253,11/20/2024,10/02/2025,posted,,,,,357253,PAR-25-220
Grants to Support New Investigators in Conducting Research Related to Preventing Interpersonal Violence Impacting Children and Youth (RFA-CE-26-021),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/360270,08/08/2025,,forecasted,,,,,360270,RFA-CE-26-021
OJJDP FY25 National Center for Missing &amp; Exploited Children &ndash; IAA USSS Invited to Apply (O-OJJDP-2025-172442),Office of Juvenile Justice Delinquency Prevention ,https://www.grants.gov/search-results-detail/360410,08/29/2025,09/03/2025,posted,,,,,360410,O-OJJDP-2025-172442
Family Violence Prevention and Services Discretionary Grant Program/ National Indigenous Domestic Violence Hotline (HHS-2025-ACF-OFVPS-EV-0004),Administration for Children and Families - OFVPS,https://www.grants.gov/search-results-detail/355697,08/20/2025,09/04/2025,posted,,,,,355697,HHS-2025-ACF-OFVPS-EV-0004
Cooperative Research Agreements Related to the World Trade Center Health Program (U01) (RFA-OH-26-001),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/356163,08/22/2024,,forecasted,,,,,356163,RFA-OH-26-001
Ambassador&rsquo;s Special Self-Help Fund (AFKIN-21-01),U.S. Mission to the Democratic Republic of Congo,https://www.grants.gov/search-results-detail/334013,06/07/2021,,forecasted,,,,,334013,AFKIN-21-01
