Grant Name,Sponsor,Link,Open Date,Deadline,Status,Relevance,EQORE Fit,Ease of Use,Match %,Opp ID,Opportunity Number
Assessment and Evaluation of Emerging Health Conditions Relevant to the World Trade Center Health Program (U01) (RFA-OH-26-002),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/356164,08/22/2024,,forecasted,,,,,356164,RFA-OH-26-002
Global Health Security Partnership Engagement: Continuing to Expand Efforts and Strategies to Protect and Improve Public Health in Cameroon (CDC-RFA-JG-26-0041),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360329,08/21/2025,,forecasted,,,,,360329,CDC-RFA-JG-26-0041
Forecast to Publish a Notice of Funding Opportunity Announcement for Addressing Determinants of Health Disparities Among Rural Populations (R01 - Clinical Trial Optional) (FOR-MD-25-003),National Institutes of Health,https://www.grants.gov/search-results-detail/359138,05/27/2025,,forecasted,,,,,359138,FOR-MD-25-003
Mind and Body Interventions to Restore Whole Person Health via Emotional Well-Being Mechanisms (NOT-AT-25-006),National Institutes of Health,https://www.grants.gov/search-results-detail/359155,05/28/2025,,forecasted,,,,,359155,NOT-AT-25-006
NLM Information Resource Grants to Reduce Health Disparities and Promote Health for All (G08 Clinical Trial Not Allowed) (PAR-24-281),National Institutes of Health,https://www.grants.gov/search-results-detail/356250,08/28/2024,05/25/2026,posted,,,,,356250,PAR-24-281
Leading Edge Acceleration Projects (LEAP) in Health Information Technology (NAP-AX-22-001),Office of the National Coordinator,https://www.grants.gov/search-results-detail/341131,06/14/2022,09/30/2027,posted,,,,,341131,NAP-AX-22-001
Health Equity Data Access Program (HEDAP) (CMS-2L2-25-001),Centers for Medicare & Medicaid Services,https://www.grants.gov/search-results-detail/355646,07/25/2024,,forecasted,,,,,355646,CMS-2L2-25-001
Public Health Crisis Response Cooperative Agreement (CDC-RFA-TP22-2201),Centers for Disease Control - OPHPR,https://www.grants.gov/search-results-detail/337086,01/13/2022,02/11/2027,posted,,,,,337086,CDC-RFA-TP22-2201
Notice of Intent to Publish a Forecast for EmbraceHealth Clinical Research Network to Reduce Health Disparities &ndash; Research Sites (FOR-MD-25-008),National Institutes of Health,https://www.grants.gov/search-results-detail/359865,06/27/2025,,forecasted,,,,,359865,FOR-MD-25-008
DHA-  Military Health System Research Program (HT942526MHSRP),Dept. of the Army -- USAMRAA,https://www.grants.gov/search-results-detail/359250,06/04/2025,10/17/2025,posted,,,,,359250,HT942526MHSRP
Expanding Efforts and Strategies to Protect and Improve Global Health Security in Kenya (CDC-RFA-JG-26-0055),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360341,08/22/2025,,forecasted,,,,,360341,CDC-RFA-JG-26-0055
PEPFAR Community Led Monitoring &ndash; Mozambique Relief Programs (MAPUTO-PCO-FY22-01),U.S. Mission to Mozambique,https://www.grants.gov/search-results-detail/334259,06/22/2021,,forecasted,,,,,334259,MAPUTO-PCO-FY22-01
Occupational Safety and Health Education and Research Centers (T42) (RFA-OH-25-002),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/355417,10/07/2024,10/26/2028,posted,,,,,355417,RFA-OH-25-002
Advanced Laboratories for Accelerating the Reach and Impact of Treatments for Youth and Adults with Mental Illness (ALACRITY) Research Centers (P50 Clinical Trial Optional) (PAR-24-210),National Institutes of Health,https://www.grants.gov/search-results-detail/348813,06/20/2023,05/18/2026,posted,,,,,348813,PAR-24-210
Notice of Intent to Publish a Funding Opportunity Announcement for Advancing Research on the Application of Digital Health Technology to the Management of Type 2 Diabetes (NOT-DK-26-315),National Institutes of Health,https://www.grants.gov/search-results-detail/359252,06/05/2025,,forecasted,,,,,359252,NOT-DK-26-315
Assessing the Feasibility of Incorporating Mechanisms in Multisite Clinical Trials of Mind and Body Interventions on Whole Person Health Restoration (R01 Clinical Trial Required) (FOR-AT-25-007),National Institutes of Health,https://www.grants.gov/search-results-detail/359941,07/08/2025,,forecasted,,,,,359941,FOR-AT-25-007
HEAL Initiative: Integrative Management of Chronic Pain and Opioid Use Disorder (OUD) for Whole Recovery: Health Systems (FOR-DA-27-001),National Institutes of Health,https://www.grants.gov/search-results-detail/360048,07/17/2025,,forecasted,,,,,360048,FOR-DA-27-001
Support Ethiopia's Capacity to Meet International Health Regulations Requirements (CDC-RFA-JG-26-0046),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360333,08/22/2025,,forecasted,,,,,360333,CDC-RFA-JG-26-0046
"Building and Strengthening Public Health Systems, Impact, and Capacity in Indonesia through Partner Collaboration (CDC-RFA-JG-26-0053)",Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360338,08/22/2025,,forecasted,,,,,360338,CDC-RFA-JG-26-0053
"Enhancing Capacity &amp; Accelerating Sustainability of Public Health Systems in India to Prevent, Detect and Respond to Infectious Disease Outbreaks and Other Public Health Emergencies (CDC-RFA-JG-26-0051)",Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360336,08/22/2025,,forecasted,,,,,360336,CDC-RFA-JG-26-0051
Continuing to Enhance Global Health Security: Sustain Efforts and Strategies to Protect and Improve Public Health Globally (CDC-RFA-JG-26-0056),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360342,08/22/2025,,forecasted,,,,,360342,CDC-RFA-JG-26-0056
Making America Healthy Again by Addressing Dementia Disparities (MP-CPI-25-001),Office of the Assistant Secretary for Health,https://www.grants.gov/search-results-detail/355824,08/01/2024,,forecasted,,,,,355824,MP-CPI-25-001
Coordinating Center for Language Access Services (MP-CPI-25-003),Office of the Assistant Secretary for Health,https://www.grants.gov/search-results-detail/355829,08/01/2024,,forecasted,,,,,355829,MP-CPI-25-003
Notice of Intent to Publish a Funding Opportunity Announcement for NIEHS Worker Training Program&rsquo;s Hazardous Materials Worker Health and Safety Training (U45 &ndash; Clinical Trials Not Allowed) (TEMP-31337),National Institutes of Health,https://www.grants.gov/search-results-detail/359158,05/28/2025,,forecasted,,,,,359158,TEMP-31337
Research Enhancement Award Program (REAP) for Health Professional Schools and Graduate Schools (FOR-PAR-25-420),National Institutes of Health,https://www.grants.gov/search-results-detail/359733,06/16/2025,,forecasted,,,,,359733,FOR-PAR-25-420
Forecast to Publish a Funding Opportunity Announcement for EmbraceHealth Clinical Research Network to Reduce Health Disparities &ndash; Coordinating Center (FOR-MD-25-009),National Institutes of Health,https://www.grants.gov/search-results-detail/359864,06/27/2025,,forecasted,,,,,359864,FOR-MD-25-009
Promoting Access with a Language Services Assistance Symbol (MP-CPI-25-004),Office of the Assistant Secretary for Health,https://www.grants.gov/search-results-detail/355830,08/01/2024,,forecasted,,,,,355830,MP-CPI-25-004
Forecast to Publish a Funding Opportunity Announcement for Research Centers in Minority Institutions (RCMI) (U54 - Clinical Trial Optional) (FOR-MD-25-004),National Institutes of Health,https://www.grants.gov/search-results-detail/359665,06/10/2025,,forecasted,,,,,359665,FOR-MD-25-004
NIEHS Worker Training Program&rsquo;s SBIR E-Learning for HAZMAT and Emergency Response (R43/R44 Clinical Trial Not Allowed) (TEMP-30794),National Institutes of Health,https://www.grants.gov/search-results-detail/358912,05/21/2025,,forecasted,,,,,358912,TEMP-30794
NIEHS Worker Training Program&rsquo;s HAZMAT Training at DOE Nuclear Weapons Complex (UH4 Clinical Trial Not Allowed) (TEMP-31334),National Institutes of Health,https://www.grants.gov/search-results-detail/359970,07/17/2025,,forecasted,,,,,359970,TEMP-31334
Dental Preventive Clinical Support (HHS-2026-IHS-TDCP-0001),Indian Health Service,https://www.grants.gov/search-results-detail/360297,08/14/2025,,forecasted,,,,,360297,HHS-2026-IHS-TDCP-0001
"HEAL Initiative: Integrative Management of chronic Pain and OUD for Whole Recovery (IMPOWR) - Building Engagement, Assistance, Capacity, Outreach, and Networks (BEACON) Center (RFA-DA-27-006)",National Institutes of Health,https://www.grants.gov/search-results-detail/360366,08/27/2025,,forecasted,,,,,360366,RFA-DA-27-006
Leading Edge Acceleration Projects for Health IT (LEAP) (ONC-NAP-AX-22-001),Office of the National Coordinator,https://www.grants.gov/search-results-detail/336506,11/10/2021,,forecasted,,,,,336506,ONC-NAP-AX-22-001
Innovative Approaches for Reducing Disparities in Kidney Health (MP-CPI-25-002),Office of the Assistant Secretary for Health,https://www.grants.gov/search-results-detail/355825,08/01/2024,,forecasted,,,,,355825,MP-CPI-25-002
For Funding Opportunity for Maximizing the Scientific Value of Data Generated by the Environmental influences on Child Health Outcomes (ECHO) Program: Dissertation Grant (R36) (FOR-RFA-OD-25-004),National Institutes of Health,https://www.grants.gov/search-results-detail/359149,05/27/2025,,forecasted,,,,,359149,FOR-RFA-OD-25-004
Enhancing Global Health Security: Expanding Efforts and Strategies to Protect and Improve Public Health in Bangladesh (CDC-RFA-JG-26-0039),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360328,08/21/2025,,forecasted,,,,,360328,CDC-RFA-JG-26-0039
Improve and Strengthen the Nigerian National Public Health Institute's Management Capacity and Public Health Functions (CDC-RFA-JG-26-0043),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360332,08/22/2025,,forecasted,,,,,360332,CDC-RFA-JG-26-0043
Strengthening public health efforts and partnerships to protect and improve health in the Democratic Republic of the Congo (DRC) (CDC-RFA-JG-26-0044),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360331,08/22/2025,,forecasted,,,,,360331,CDC-RFA-JG-26-0044
Improving Health Security and Building International Health Regulations Core Capacities in the Republic of Uganda (CDC-RFA-JG-26-0054),Centers for Disease Control-GHC,https://www.grants.gov/search-results-detail/360339,08/22/2025,,forecasted,,,,,360339,CDC-RFA-JG-26-0054
National Center for Construction Safety and Health Research and Translation (U54) (RFA-OH-24-001),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/345738,09/13/2023,12/01/2026,posted,,,,,345738,RFA-OH-24-001
Research Grants in Clinical Informatics (R01 Clinical Trial Optional) (FOR-LM-25-002),National Institutes of Health,https://www.grants.gov/search-results-detail/359004,07/22/2025,,forecasted,,,,,359004,FOR-LM-25-002
REACHing Communities (REACH) Consortium (U01) Clinical Trials Optional (FOR-FD-25-012),Food and Drug Administration,https://www.grants.gov/search-results-detail/356052,08/14/2024,,forecasted,,,,,356052,FOR-FD-25-012
Economic and Modeling Analyses to Support Immunization Policy and Programs (RFA-IP-26-032),Centers for Disease Control and Prevention - ERA,https://www.grants.gov/search-results-detail/360198,08/01/2025,,forecasted,,,,,360198,RFA-IP-26-032
Promoting Resources and Opportunities for People with Autism and Fragile X and their Families Across the Lifespan (CDC-RFA-DD-26-0025),Centers for Disease Control - NCBDDD,https://www.grants.gov/search-results-detail/360357,08/25/2025,,forecasted,,,,,360357,CDC-RFA-DD-26-0025
Basic Research in Cancer Health Disparities (R21 Clinical Trial Not Allowed) (PAR-25-244),National Institutes of Health,https://www.grants.gov/search-results-detail/357193,11/18/2024,11/16/2027,posted,,,,,357193,PAR-25-244
