Grant Name,Sponsor,Link,Open Date,Deadline,Status,Relevance,EQORE Fit,Ease of Use,Match %,Opp ID,Opportunity Number
FY2025 ABPP - Battlefield Interpretation Grant (P25AS00477),National Park Service,https://www.grants.gov/search-results-detail/360361,08/27/2025,11/25/2025,posted,,,,,360361,P25AS00477
Research Interests of the United States Air Force Academy (formerly USAFA-BAA-2021) (FA7000-21-S-0001),Air Force Academy,https://www.grants.gov/search-results-detail/330175,12/02/2020,,posted,,,,,330175,FA7000-21-S-0001
"Communications, Circuits, and Sensing-Systems (PD-18-7564)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/346204,02/17/2023,,posted,,,,,346204,PD-18-7564
Louis Stokes Alliances for Minority Participation (24-563),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/359104,05/23/2025,11/21/2025,posted,,,,,359104,24-563
"Energy, Power, Control, and Networks (PD-18-7607)",U.S. National Science Foundation,https://www.grants.gov/search-results-detail/348258,05/19/2023,,posted,,,,,348258,PD-18-7607
USDA/USDOI Joint Fire Science Program (JFSP) (L20AS00080),Bureau of Land Management,https://www.grants.gov/search-results-detail/325472,03/16/2020,,forecasted,,,,,325472,L20AS00080
Understanding the Intersection of Forced Scamming and Child Labor in Southeast Asia (RFI-ILAB-24-01),Bureau of International Labor Affairs,https://www.grants.gov/search-results-detail/357126,11/14/2024,,forecasted,,,,,357126,RFI-ILAB-24-01
Improving Undergraduate STEM Education: Directorate for STEM Education (23-510),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/344124,10/20/2022,01/21/2026,posted,,,,,344124,23-510
RFI - DOE R (DE-SOL-0008246),Idaho Field Office,https://www.grants.gov/search-results-detail/280932,01/14/2016,,posted,,,,,280932,DE-SOL-0008246
Microsystems Technology Office (MTO) Office-wide (HR001124S0028),DARPA - Microsystems Technology Office ,https://www.grants.gov/search-results-detail/354134,05/09/2024,10/09/2025,posted,,,,,354134,HR001124S0028
Industry-Driven Skills Training Fund Grant Program (ETA-TEGL-02-25),Employment and Training Administration,https://www.grants.gov/search-results-detail/360260,08/07/2025,09/05/2025,posted,,,,,360260,ETA-TEGL-02-25
TECHGATE (DFOP0017381),Bureau of Cyberspace and Digital Policy,https://www.grants.gov/search-results-detail/360408,08/29/2025,09/02/2025,posted,,,,,360408,DFOP0017381
U.S.-Qatar Partnership Initiative: Celebrating America 250 and Beyond (OFOP0002219),U.S. Mission to Qatar,https://www.grants.gov/search-results-detail/360186,07/31/2025,08/30/2025,posted,,,,,360186,OFOP0002219
Magnetic Acceleration Generating New Innovations and Tactical Outcomes (MAGNITO) (DE-FOA-0003590),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360355,08/25/2025,09/24/2025,posted,,,,,360355,DE-FOA-0003590
MAGNETIC ACCELERATION GENERATING NEW INNOVATIONS AND TACTICAL OUTCOMES SBIR/STTR (MAGNITO SBIR/STTR) (DE-FOA-0003591),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360356,08/25/2025,09/24/2025,posted,,,,,360356,DE-FOA-0003591
Bipartisan Infrastructure Law - Carbon Dioxide Transportation Infrastructure Finance and Innovation (CIFIA) Program: Future Growth Grants (Section 40304) (DE-FOA-0002966),National Energy Technology Laboratory,https://www.grants.gov/search-results-detail/353946,05/02/2024,01/02/2026,posted,,,,,353946,DE-FOA-0002966
Reliable Ore Characterization with Keystone Sensing SBIR/STTR (ROCKS SBIR/STTR) (DE-FOA-0003593),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360354,08/25/2025,09/25/2025,posted,,,,,360354,DE-FOA-0003593
