Grant Name                                                                                                   , Sponsor                            , Link                                               , Deadline  , Relevance         , EQORE Fit, Ease of Use, Match %, Award max, RFP                                                , Innovation/execution, Latest preparation start date, Partners notes, Timeline summary                  , App process, App package, Extra notes
Engineering for Civil Infrastructure (PD-19-073Y)                                                            , U.S. National Science Foundation   , https://www.grants.gov/search-results-detail/306169,           , 2.9000000000000004,       3.0,         3.0,        ,          , https://www.grants.gov/search-results-detail/306169,                     ,                              ,               , Open 06/12/2018 → Close           ,            ,            , Status: posted
Infrastructure Systems and People (PD-25-342Y)                                                               , U.S. National Science Foundation   , https://www.grants.gov/search-results-detail/358397,           , 2.9000000000000004,       3.0,         3.0,        ,          , https://www.grants.gov/search-results-detail/358397,                     ,                              ,               , Open 01/25/2025 → Close           ,            ,            , Status: posted
Electrochemical Systems (PD-23-7644)                                                                         , U.S. National Science Foundation   , https://www.grants.gov/search-results-detail/347329,           , 1.3               ,       3.0,         3.0,        ,          , https://www.grants.gov/search-results-detail/347329,                     ,                              ,               , Open 04/05/2023 → Close           ,            ,            , Status: posted
Growing Research Access for Nationally Transformative Economic Development (PD-23-221Y)                      , U.S. National Science Foundation   , https://www.grants.gov/search-results-detail/346203,           , 2.9000000000000004,       3.0,         3.0,        ,          , https://www.grants.gov/search-results-detail/346203,                     ,                              ,               , Open 02/17/2023 → Close           ,            ,            , Status: posted
Fire Science Innovations through Research and Education (PD-25-345Y)                                         , U.S. National Science Foundation   , https://www.grants.gov/search-results-detail/358568, 02/10/2026, 2.3               ,       3.0,         5.0,        ,          , https://www.grants.gov/search-results-detail/358568,                     ,                              ,               , Open 03/16/2025 → Close 02/10/2026,            ,            , Status: posted
Geospace Cluster (PD-24-7789)                                                                                , U.S. National Science Foundation   , https://www.grants.gov/search-results-detail/356536,           , 1.3               ,       3.0,         3.0,        ,          , https://www.grants.gov/search-results-detail/356536,                     ,                              ,               , Open 09/26/2024 → Close           ,            ,            , Status: posted
Algorithms for Modern Power Systems (22-569)                                                                 , U.S. National Science Foundation   , https://www.grants.gov/search-results-detail/337984, 02/09/2026, 1.3               ,       3.0,         5.0,        ,          , https://www.grants.gov/search-results-detail/337984,                     ,                              ,               , Open 02/11/2022 → Close 02/09/2026,            ,            , Status: posted
Mathematical Foundations of Digital Twins (24-559)                                                           , U.S. National Science Foundation   , https://www.grants.gov/search-results-detail/353134, 03/16/2026, 1.3               ,       3.0,         5.0,        ,          , https://www.grants.gov/search-results-detail/353134,                     ,                              ,               , Open 03/23/2024 → Close 03/16/2026,            ,            , Status: posted
Tribal Colleges and Universities Program (21-595)                                                            , U.S. National Science Foundation   , https://www.grants.gov/search-results-detail/334326, 09/02/2025, 1.3               ,       3.0,         1.0,        ,          , https://www.grants.gov/search-results-detail/334326,                     ,                              ,               , Open 06/24/2021 → Close 09/02/2025,            ,            , Status: posted
National Science Foundation Translation to Practice (25-540)                                                 , U.S. National Science Foundation   , https://www.grants.gov/search-results-detail/359966, 09/16/2025, 1.3               ,       3.0,         2.0,        ,          , https://www.grants.gov/search-results-detail/359966,                     ,                              ,               , Open 07/09/2025 → Close 09/16/2025,            ,            , Status: posted
Smart Health and Biomedical Research in the Era of Artificial Intelligence and Advanced Data Science (25-542), U.S. National Science Foundation   , https://www.grants.gov/search-results-detail/360142, 10/03/2025, 3.1               ,       3.0,         3.0,        ,          , https://www.grants.gov/search-results-detail/360142,                     ,                              ,               , Open 07/24/2025 → Close 10/03/2025,            ,            , Status: posted
"Security, Privacy, and Trust in Cyberspace (25-515)"                                                        , U.S. National Science Foundation   , https://www.grants.gov/search-results-detail/357554, 09/29/2025, 1.3               ,       3.0,         2.0,        ,          , https://www.grants.gov/search-results-detail/357554,                     ,                              ,               , Open 12/06/2024 → Close 09/29/2025,            ,            , Status: posted
Cultural Anthropology Program - Doctoral Dissertation Research Improvement Grants (24-605)                   , U.S. National Science Foundation   , https://www.grants.gov/search-results-detail/356415, 01/15/2026, 1.8               ,       3.0,         5.0,        ,          , https://www.grants.gov/search-results-detail/356415,                     ,                              ,               , Open 09/13/2024 → Close 01/15/2026,            ,            , Status: posted
Mechanics of Materials and Structures (PD-19-1630)                                                           , U.S. National Science Foundation   , https://www.grants.gov/search-results-detail/306172,           , 1.3               ,       3.0,         3.0,        ,          , https://www.grants.gov/search-results-detail/306172,                     ,                              ,               , Open 06/12/2018 → Close           ,            ,            , Status: posted
Biosensing (PD-20-7909)                                                                                      , U.S. National Science Foundation   , https://www.grants.gov/search-results-detail/320536,           , 1.3               ,       3.0,         3.0,        ,          , https://www.grants.gov/search-results-detail/320536,                     ,                              ,               , Open 09/12/2019 → Close           ,            ,            , Status: posted
"Mind, Machine and Motor Nexus (PD-25-058Y)"                                                                 , U.S. National Science Foundation   , https://www.grants.gov/search-results-detail/358682,           , 1.3               ,       3.0,         3.0,        ,          , https://www.grants.gov/search-results-detail/358682,                     ,                              ,               , Open 04/16/2025 → Close           ,            ,            , Status: posted
