Grant Name,Sponsor,Link,Open Date,Deadline,Status,Relevance,EQORE Fit,Ease of Use,Match %,Opp ID,Opportunity Number
Forecast to Publish a Notice of Funding Opportunity for Academic Career Excellence (ACE) Award (K32 - Clinical Trial Required) (NOT-CA-25-102),National Institutes of Health,https://www.grants.gov/search-results-detail/359894,07/01/2025,,forecasted,0.0,3.0,4.0,,359894,NOT-CA-25-102
Forecast for HEAL Initiative: Non-addictive Analgesic Therapeutics Development [Small Molecules and Biologics] to Treat Pain (UG3/UH3 Clinical Trial Optional (FOR-NS-25-002),National Institutes of Health,https://www.grants.gov/search-results-detail/359161,05/28/2025,,forecasted,0.5,3.0,4.0,,359161,FOR-NS-25-002
Forecast to Publish a Funding Opportunity Announcement for Early-Stage Development of Informatics Technologies for Cancer Research and Management (U01 Clinical Trial Optional) (FOR-CA-25-073),National Institutes of Health,https://www.grants.gov/search-results-detail/359892,07/02/2025,,forecasted,0.5,3.0,4.0,,359892,FOR-CA-25-073
SEEDING CRITICAL ADVANCES FOR LEADING ENERGY TECHNOLOGIES WITH UNTAPPED POTENTIAL (SCALEUP) READY (DE-FOA-0003467),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/356623,10/02/2024,09/29/2029,posted,1.0,4.0,5.0,,356623,DE-FOA-0003467
Research in the Formation of Engineers (PD-24-1340),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/350230,09/17/2023,,posted,0.5,3.0,3.0,,350230,PD-24-1340
Forecast to Publish a Notice of Funding Opportunity for Paul Calabresi Career Development Award in Clinical Oncology (K12 Clinical Trial Optional) (NOT-CA-25-105),National Institutes of Health,https://www.grants.gov/search-results-detail/359889,07/01/2025,,forecasted,0.0,3.0,4.0,,359889,NOT-CA-25-105
FY 2023 EDA Public Works and Economic Adjustment Assistance Programs (PWEAA2023),Economic Development Administration,https://www.grants.gov/search-results-detail/346815,03/14/2023,,posted,0.0,3.0,3.0,20.0,346815,PWEAA2023
Atlanta FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-ATL-TA-ATRO-2021-2006846),Department of Commerce,https://www.grants.gov/search-results-detail/332052,03/15/2021,,posted,0.0,4.0,3.0,0.0,332052,EDA-ATL-TA-ATRO-2021-2006846
Denver FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-DEN-TA-DRO-2021-2006850),Department of Commerce,https://www.grants.gov/search-results-detail/332126,03/15/2021,,posted,0.0,4.0,3.0,0.0,332126,EDA-DEN-TA-DRO-2021-2006850
Austin FY 2021 &ndash; FY 2023 EDA Planning and Local Technical Assistance (EDA-AUS-TA-AURO-2021-2006848),Department of Commerce,https://www.grants.gov/search-results-detail/332137,03/15/2021,,posted,0.0,4.0,3.0,0.0,332137,EDA-AUS-TA-AURO-2021-2006848
