Grant Name,Sponsor,Link,Open Date,Deadline,Status,Relevance,EQORE Fit,Ease of Use,Match %,Opp ID,Opportunity Number
Linguistics Program - Doctoral Dissertation Research Improvement Grants (20-538),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/323597,01/11/2020,01/15/2026,posted,0.5,3.0,5.0,,323597,20-538
Dynamic Language Infrastructure-Doctoral Dissertation Research Improvement Grants (22-616),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/342476,07/17/2022,09/15/2025,posted,1.0,3.0,2.0,,342476,22-616
NSF Dynamic Language Infrastructure - NEH Documenting Endangered Languages (22-615),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/342475,07/17/2022,09/15/2025,posted,0.5,3.0,2.0,,342475,22-615
Annual Program Statement (APS) for Fiscal Year 2025 (PAS-TUNIS-FY2025),U.S. Mission to Tunisia,https://www.grants.gov/search-results-detail/359120,06/02/2025,,forecasted,0.0,3.0,4.0,,359120,PAS-TUNIS-FY2025
Promoting Access with a Language Services Assistance Symbol (MP-CPI-25-004),Office of the Assistant Secretary for Health,https://www.grants.gov/search-results-detail/355830,08/01/2024,,forecasted,0.0,3.0,4.0,,355830,MP-CPI-25-004
Coordinating Center for Language Access Services (MP-CPI-25-003),Office of the Assistant Secretary for Health,https://www.grants.gov/search-results-detail/355829,08/01/2024,,forecasted,0.0,3.0,4.0,,355829,MP-CPI-25-003
Advancement and Innovation in Measurement of Language Development and Predictors (R01 Clinical Trial Not Allowed) (PAR-25-112),National Institutes of Health,https://www.grants.gov/search-results-detail/357186,11/18/2024,09/07/2027,posted,0.5,3.0,5.0,,357186,PAR-25-112
Advancement and Innovation in Measurement of Language Development and Predictors (R21 Clinical Trial Not Allowed) (PAR-25-113),National Institutes of Health,https://www.grants.gov/search-results-detail/357187,11/18/2024,09/07/2027,posted,0.5,3.0,5.0,,357187,PAR-25-113
Dynamic Language Infrastructure &ndash; Documenting Endangered Languages Fellowships (20250910-FN),National Endowment for the Humanities,https://www.grants.gov/search-results-detail/356523,09/25/2024,,forecasted,0.5,3.0,4.0,,356523,20250910-FN
Funding for New Counter-Disinformation Game (S-NL800-20-GR-3011),U.S. Mission to the Netherlands,https://www.grants.gov/search-results-detail/334791,07/19/2021,,forecasted,0.0,3.0,4.0,,334791,S-NL800-20-GR-3011
Information and Practice Needs Relevant to Late Talking Children (R21 Clinical Trial Not Allowed) (PAR-25-217),National Institutes of Health,https://www.grants.gov/search-results-detail/357254,11/20/2024,10/02/2025,posted,0.0,3.0,3.0,,357254,PAR-25-217
U.S. Embassy Djibouti PDS Annual Program Statement (PDS-24-01),U.S. Mission to Djibouti,https://www.grants.gov/search-results-detail/352290,02/11/2024,,forecasted,0.0,3.0,4.0,,352290,PDS-24-01
NIDCD Clinical Research Center Grant (P50 Clinical Trial Optional) (NOT-DC-25-031),National Institutes of Health,https://www.grants.gov/search-results-detail/358863,05/12/2025,,forecasted,0.5,3.0,4.0,,358863,NOT-DC-25-031
Early-Stage Dissemination and Implementation Research in Communication Disorders (R21 Clinical Trial Optional) (NOT-DC-25-033),National Institutes of Health,https://www.grants.gov/search-results-detail/359274,06/06/2025,,forecasted,0.5,3.0,4.0,,359274,NOT-DC-25-033
Residential (Long Term Foster Care) Services for Unaccompanied Children (HHS-2023-ACF-ORR-ZU-0162),Administration for Children and Families - ORR,https://www.grants.gov/search-results-detail/340671,05/25/2022,,forecasted,0.0,3.0,4.0,,340671,HHS-2023-ACF-ORR-ZU-0162
Request for Information (RFI): Community Influence on Human Judgment During  Information Processing Tasks (DEVCOM-ARL-RFI-24-01-HC),Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/350730,10/25/2023,,forecasted,0.5,3.0,4.0,,350730,DEVCOM-ARL-RFI-24-01-HC
Curriculum and University Partnerships (CUP) (2025VE-002A),U.S. Mission to Venezuela,https://www.grants.gov/search-results-detail/359026,05/16/2025,,forecasted,0.5,3.0,4.0,,359026,2025VE-002A
"National Defense Education Program (NDEP) Science, Technology, Engineering, and Mathematics (STEM) Consortia Request for Information (RFI) for the Office of the Under Secretary of Defense (Research &amp; Engineering) (RANDENDEPSTEMFY22RFI)",Department of Defense,https://www.grants.gov/search-results-detail/334905,07/27/2021,,forecasted,0.5,4.0,4.0,0.0,334905,RANDENDEPSTEMFY22RFI
U.S. Ambassadors Fund for Cultural Preservation (AFCP) 2021 Small Grant Competition (PAS-JAKARTA-FY20-04),U.S. Mission to Indonesia,https://www.grants.gov/search-results-detail/327284,05/22/2020,,forecasted,0.0,3.0,4.0,,327284,PAS-JAKARTA-FY20-04
National Center on Child Maltreatment Fatality Data Practices and Reporting (HHS-2025-ACF-ACYF-CA-0074),Administration for Children and Families - ACYF/CB,https://www.grants.gov/search-results-detail/355699,01/14/2025,01/22/2026,posted,0.5,3.0,5.0,,355699,HHS-2025-ACF-ACYF-CA-0074
U.S. Embassy Praia Ambassador&rsquo;s Special Self-Help (SSH) Program (AFPRA-20-04),U.S. Mission to Cape Verde,https://www.grants.gov/search-results-detail/325599,03/19/2020,,posted,0.5,3.0,3.0,,325599,AFPRA-20-04
Notice of Intent on Upcoming 2020 TIP Office Funding Opportunity (SFOP0007154),Office to Monitor-Combat Trafficking in Persons,https://www.grants.gov/search-results-detail/328026,07/08/2020,01/01/2099,posted,0.0,3.0,5.0,,328026,SFOP0007154
ANNUAL PROGRAM STATEMENT - PUBLIC AFFAIRS ITALY (ROMENOFO002DOSEUR),U.S. Mission to Italy,https://www.grants.gov/search-results-detail/331306,02/04/2021,,posted,0.5,3.0,3.0,,331306,ROMENOFO002DOSEUR
2022 Alumni Engagement Innovation Fund-Italy (04),U.S. Mission to Italy,https://www.grants.gov/search-results-detail/337035,12/20/2021,,forecasted,0.5,3.0,4.0,,337035,04
