Grant Name,Sponsor,Link,Open Date,Deadline,Status,Relevance,EQORE Fit,Ease of Use,Match %,Opp ID,Opportunity Number
Reliable Ore Characterization with Keystone Sensing SBIR/STTR (ROCKS SBIR/STTR) (DE-FOA-0003593),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360354,08/25/2025,09/25/2025,posted,2.0,4.0,2.0,,360354,DE-FOA-0003593
Reliable Ore Characterization with Keystone Sensing (ROCKS) (DE-FOA-0003592),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360353,08/25/2025,09/25/2025,posted,1.0,4.0,2.0,,360353,DE-FOA-0003592
Magnetic Acceleration Generating New Innovations and Tactical Outcomes (MAGNITO) (DE-FOA-0003590),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/360355,08/25/2025,09/24/2025,posted,1.5,4.0,2.0,,360355,DE-FOA-0003590
SPURRING PROJECTS TO ADVANCE ENERGY RESEARCH AND KNOWLEDGE SWIFTLY (SPARKS) (DE-FOA-0003164),Advanced Research Projects Agency Energy ,https://www.grants.gov/search-results-detail/350952,11/09/2023,09/30/2029,posted,1.0,4.0,5.0,,350952,DE-FOA-0003164
Partnership Intermediary Agreement (PIA) (FA8651-22-S0021),Munitions Directorate,https://www.grants.gov/search-results-detail/336962,12/14/2021,,forecasted,0.0,3.0,4.0,,336962,FA8651-22-S0021
LPS Qubit Collaboratory (LQC) (W911NF21S0009),Dept of the Army -- Materiel Command,https://www.grants.gov/search-results-detail/332894,04/16/2021,04/30/2026,posted,0.0,3.0,5.0,,332894,W911NF21S0009
NSF National Quantum Virtual Laboratory - Quantum Testbeds (24-586),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/355196,06/28/2024,04/07/2026,posted,0.0,3.0,5.0,,355196,24-586
BRAIN Initiative: Optimization of Instrumentation and Device Technologies for Recording and Modulation in the Nervous System (U01 Clinical Trials Not Allowed) (RFA-NS-25-017),National Institutes of Health,https://www.grants.gov/search-results-detail/356510,09/24/2024,01/20/2026,posted,0.5,3.0,5.0,,356510,RFA-NS-25-017
University Nuclear Leadership Program&ndash; Scholarship and Fellowship Support (DE-FOA-0002265),Idaho Field Office,https://www.grants.gov/search-results-detail/329436,10/15/2020,10/14/2030,posted,0.5,3.0,5.0,,329436,DE-FOA-0002265
Annual Program Statement (APS) (PDS-ATHENS-FY25-01),U.S. Mission to Greece,https://www.grants.gov/search-results-detail/359266,06/06/2025,,forecasted,0.0,3.0,4.0,,359266,PDS-ATHENS-FY25-01
Artificial Intelligence and Technology Collaboratory (RFA-AG-26-006),National Institutes of Health,https://www.grants.gov/search-results-detail/359654,06/12/2025,,forecasted,0.0,3.0,4.0,,359654,RFA-AG-26-006
Artificial Intelligence and Technology Collaboratory Coordinating Center (RFA-AG-26-007),National Institutes of Health,https://www.grants.gov/search-results-detail/359652,06/09/2025,,forecasted,0.0,3.0,4.0,,359652,RFA-AG-26-007
Forecast to Publish a Funding Opportunity Announcement for Advanced Development of Informatics Technologies for Cancer Research and Management (U24 Clinical Trial Optional) (FOR-CA-25-074),National Institutes of Health,https://www.grants.gov/search-results-detail/359855,07/02/2025,,forecasted,0.5,3.0,4.0,,359855,FOR-CA-25-074
BRAIN Initiative: New Concepts and Early-Stage Research for Recording and Modulation in the Nervous System (R21) (Clinical Trial Not Allowed) (RFA-EY-25-001),National Institutes of Health,https://www.grants.gov/search-results-detail/357601,12/09/2024,06/15/2026,posted,1.0,3.0,5.0,,357601,RFA-EY-25-001
Research on Innovative Technologies for Enhanced Learning (23-624),U.S. National Science Foundation,https://www.grants.gov/search-results-detail/350347,09/27/2023,11/04/2025,posted,0.5,3.0,4.0,,350347,23-624
Awards Supporting Cutting-Edge Technologies for Translational Science (ASCETTS) (R21 Clinical Trials Not Allowed) (PAR-25-157),National Institutes of Health,https://www.grants.gov/search-results-detail/357625,12/10/2024,06/18/2026,posted,0.0,3.0,5.0,,357625,PAR-25-157
